number,name,position,height,weight,class,hometown
NA,Joel Smith,G,"6' 4""",NA,JR,NA
NA,Jon Brockman,F,"6' 7""",NA,SR,NA
NA,Justin Dentmon,G,"5' 11""",NA,SR,NA
NA,Artem Wallace,C,"6' 8""",NA,SR,NA
NA,Joe Wolfinger,C,"7' 0""",NA,JR,NA
NA,Venoy Overton,G,"5' 11""",NA,SO,NA
NA,Justin Holiday,F,"6' 6""",NA,SO,NA
NA,Darnell Gant,F,"6' 8""",NA,FR,NA
NA,Ryan Appleby,G,"6' 3""",NA,SR,NA
NA,Quincy Pondexter,F,"6' 7""",NA,JR,NA
NA,Tim Morris,G,"6' 4""",NA,SR,NA
NA,Matthew Bryan-Amaning,F,"6' 9""",NA,SO,NA
NA,Isaiah Thomas,G,"5' 8""",NA,FR,NA
NA,Scott Suggs,G,"6' 6""",NA,FR,NA
NA,Elston Turner,G,"6' 5""",NA,FR,NA
