number,name,position,height,weight,class,hometown
NA,Jerry Stangline,G,"6' 2""",NA,FR,NA
NA,Jeffery Middlebrooks,G,"6' 1""",NA,FR,NA
NA,Brandon Jones,F,"6' 4""",NA,JR,NA
NA,Deshean Porchea,G,"6' 1""",NA,SO,NA
NA,Shedrick Matthews,,NA,NA,,NA
NA,Ivory White,G,"6' 4""",NA,FR,NA
NA,Alex Tolbert,,NA,NA,,NA
NA,Jamarr Sanders,G,"6' 5""",NA,FR,NA
NA,Rashad Provitt,F,"6' 7""",NA,SR,NA
NA,Menji Mundadi,G,"6' 3""",NA,JR,NA
NA,Wendell Mardis,G,"5' 10""",NA,JR,NA
NA,Roland Fitch,F,"6' 6""",NA,SO,NA
NA,Tramayne Moorer,F,"6' 6""",NA,SO,NA
NA,Wesley Jones,F,"6' 7""",NA,JR,NA
NA,Andrew Hayles,G,"6' 5""",NA,SR,NA
NA,Joel Bosh,F,"6' 7""",NA,SR,NA
NA,Chief Kickingstallionsims,C,"7' 1""",NA,SR,NA
NA,Brandon Brooks,G,"6' 2""",NA,SR,NA
NA,Tramaine Butler,G,"6' 2""",NA,FR,NA
NA,Byron Walker,F,"6' 8""",NA,JR,NA
NA,Jevon Freeman,G,"5' 11""",NA,FR,NA
NA,Brandon Gordon,F,"6' 7""",NA,SR,NA
