number,name,position,height,weight,class,hometown
NA,Dax Crum,G,"6' 3""",NA,SR,NA
NA,Geoff Payne,F,"6' 7""",NA,JR,NA
NA,Dave Marek,,NA,NA,,NA
NA,Davis Baker,G,"6' 4""",NA,JR,NA
NA,Eules Thompson,G,"6' 2""",NA,JR,NA
NA,Cory Davis,G,"6' 0""",NA,JR,NA
NA,Nick Livi,G,"6' 1""",NA,JR,NA
NA,Rick Roberts,G,"6' 4""",NA,SO,NA
NA,John Clifford,C,"6' 10""",NA,SR,NA
NA,Josh Bateman,,NA,NA,FR,NA
NA,Lance Higbee,F,"6' 4""",NA,SO,NA
NA,Lucas Jones,F,"6' 9""",NA,JR,NA
NA,Tyler Quinney,F,"6' 7""",NA,SR,NA
NA,Mike Josserand,G,"5' 11""",NA,SO,NA
NA,Cris Hoopes,F,"6' 5""",NA,JR,NA
NA,Nurudeen Adepoju,F,"6' 5""",NA,SR,NA
NA,Orlando Griego,F,"6' 7""",NA,SR,NA
NA,Byron Byrd,G,"6' 5""",NA,JR,NA
NA,Jake Nielson,F,"6' 3""",NA,FR,NA
NA,Drew Allen,G,"6' 2""",NA,JR,NA
NA,Jaren Jeffery,F,"6' 8""",NA,FR,NA
