number,name,position,height,weight,class,hometown
NA,Justin Johnson,G,"6' 6""",NA,SR,NA
NA,Cyrus Tate,F,"6' 8""",NA,SR,NA
NA,J.R. Angle,G,"6' 7""",NA,SR,NA
NA,Anthony Tucker,G,"6' 4""",NA,FR,NA
NA,Matt Gatens,G,"6' 5""",NA,FR,NA
NA,Andrew Brommer,F,"6' 9""",NA,FR,NA
NA,Jeff Peterson,G,"6' 0""",NA,SO,NA
NA,Jarryd Cole,F,"6' 7""",NA,SO,NA
NA,Jake Kelly,G,"6' 6""",NA,SO,NA
NA,Devan Bawinkel,G,"6' 5""",NA,JR,NA
NA,Kurt Looby,F,"6' 10""",NA,SR,NA
NA,David Palmer,C,"6' 9""",NA,JR,NA
NA,Tony Freeman,G,"6' 1""",NA,JR,NA
NA,Dan Bohall,G,"6' 4""",NA,SO,NA
NA,Aaron Fuller,F,"6' 6""",NA,FR,NA
NA,Jermain Davis,G,"6' 4""",NA,JR,NA
NA,Seth Gorney,C,"7' 0""",NA,SR,NA
