number,name,position,height,weight,class,hometown
2,Ryan Ansel,G,"6' 2""",NA,SR,NA
3,Brian Sullivan,G,"5' 11""",NA,SO,NA
4,Tyler Kalinoski,G,"6' 4""",NA,JR,NA
5,Jordan Barham,G,"6' 4""",NA,SO,NA
12,Jack Gibbs,,NA,NA,FR,NA
13,Joe Aase,F,"6' 8""",NA,FR,NA
14,Clay Tormey,G,"5' 11""",NA,SR,NA
22,Ali Mackay,F,"6' 11""",NA,JR,NA
23,Tom Droney,G,"6' 6""",NA,SR,NA
24,De'Mon Brooks,F,"6' 7""",NA,SR,NA
25,Jake Belford,F,"6' 9""",NA,SO,NA
31,Manu Giamoukis,G,"6' 1""",NA,FR,NA
34,Connor Perkey,F,"6' 8""",NA,SO,NA
35,Chris Czerapowicz,G,"6' 7""",NA,SR,NA
40,Andrew McAuliffe,F,"6' 8""",NA,FR,NA
41,Will Thoni,F,"6' 3""",NA,SR,NA
