number,name,position,height,weight,class,hometown
4,Devon Carter,G,"6' 4""",NA,SO,NA
5,Austin Price,G,"6' 3""",NA,FR,NA
10,Miles Simelton,G,"6' 0""",NA,FR,NA
11,Mackey McKnight,G,"6' 0""",NA,SR,NA
13,Cole Renninger,G,"6' 3""",NA,FR,NA
15,Corey Schaefer,G,"6' 1""",NA,JR,NA
21,Stefan Cvrkalj,G,"6' 5""",NA,JR,NA
23,Shane Whitfield,F,"6' 7""",NA,FR,NA
31,Jesse Chuku,F,"6' 8""",NA,SO,NA
32,Tim Kempton,C,"6' 10""",NA,FR,NA
40,Justin Goldsborough,F,"6' 8""",NA,SO,NA
42,Georgios Pilitsis,G,"6' 2""",NA,FR,NA
44,Conroy Baltimore,F,"6' 6""",NA,JR,NA
