number,name,position,height,weight,class,hometown
1,Jalon Plummer,G,"6' 5""",NA,FR,NA
2,Kyle Steward,F,"6' 7""",NA,FR,NA
3,Kendrick Perry,G,"6' 0""",NA,SR,NA
4,Shawn Amiker,G,"6' 5""",NA,JR,NA
5,Kamren Belin,F,"6' 7""",NA,SR,NA
10,Marcus Keene,G,"5' 11""",NA,FR,NA
11,Dj Cole,G,"5' 11""",NA,JR,NA
14,Josh Chojnacki,F,"6' 9""",NA,SR,NA
20,Bobby Hain,F,"6' 9""",NA,SO,NA
23,Ronnye Beamon,G,"6' 4""",NA,FR,NA
25,Fletcher Larson,F,"6' 8""",NA,JR,NA
32,Larry Johnson,F,"6' 4""",NA,JR,NA
33,Ryan Weber,F,"6' 5""",NA,SO,NA
34,Mike Podolsky,G,"6' 1""",NA,SR,NA
