number,name,position,height,weight,class,hometown
0,Gerard Coleman,G,"6' 4""",NA,JR,NA
2,Angel Nunez,F,"6' 8""",NA,SO,NA
3,Kyle Dranginis,G,"6' 5""",NA,SO,NA
4,Kevin Pangos,G,"6' 2""",NA,JR,NA
5,Gary Bell Jr.,G,"6' 2""",NA,JR,NA
11,David Stockton,G,"5' 11""",NA,SR,NA
14,Connor Griffin,F,"6' 4""",NA,FR,NA
21,Luke Meikle,F,"6' 9""",NA,FR,NA
22,Brian Bhaskar,G,"6' 3""",NA,SR,NA
24,Przemek Karnowski,C,"7' 1""",NA,SO,NA
25,Ryan Edwards,C,"7' 1""",NA,FR,NA
35,Sam Dower Jr.,C,"6' 9""",NA,SR,NA
43,Drew Barham,G,"6' 7""",NA,SR,NA
