number,name,position,height,weight,class,hometown
0,Gary Winston,G,"6' 0""",NA,JR,NA
1,Zach Gengler,G,"6' 2""",NA,FR,NA
2,Kyle Benton,F,"6' 6""",NA,FR,NA
3,Andre Winston,G,"6' 1""",NA,JR,NA
5,Lamont Prosser,C,"6' 8""",NA,SR,NA
10,Jacob Begin,G,"6' 1""",NA,JR,NA
11,Tim Douglas,G,"5' 10""",NA,JR,NA
12,Alyx Foster,G,"6' 3""",NA,SR,NA
15,Marcus Hall,G,"6' 4""",NA,SR,NA
21,Aaron Moore,F,"6' 8""",NA,SR,NA
23,Dashaun Wiggins,G,"6' 2""",NA,JR,NA
34,Joel King,G,"6' 3""",NA,JR,NA
42,Kyle Richardson,F,"6' 7""",NA,SR,NA
44,Brandon Cataldo,C,"6' 10""",NA,JR,NA
