number,name,position,height,weight,class,hometown
2,Breon Key,G,"6' 2""",NA,SO,NA
4,Lawrence Cooks,G,"6' 0""",NA,FR,NA
5,Emmanuel Okoroba,C,"6' 8""",NA,JR,NA
11,Deron Powers,G,"5' 11""",NA,SO,NA
13,Gregory Hayden,G,"5' 7""",NA,FR,NA
14,Brian Darden,G,"6' 0""",NA,SO,NA
20,Du'Vaughn Maxwell,F,"6' 7""",NA,SR,NA
21,Ke'Ron Brown,G,"6' 3""",NA,SO,NA
22,Miles Jackson,G,"6' 5""",NA,SO,NA
23,Dwight Meikle,F,"6' 8""",NA,SO,NA
24,Ramon Mercado,G,"6' 4""",NA,SR,NA
25,Reggie Price,G,"6' 3""",NA,SO,NA
30,Jervon Pressley,F,"6' 8""",NA,SO,NA
32,Dionte Adams,F,"6' 7""",NA,SO,NA
33,Phillip Reed,C,"6' 10""",NA,FR,NA
