number,name,position,height,weight,class,hometown
2,Ron Curry,G,"6' 4""",NA,SO,NA
4,Charles Cooke,G,"6' 6""",NA,SO,NA
10,Jackson Kent,G,"6' 7""",NA,FR,NA
11,Andrey Semenov,F,"6' 7""",NA,SR,NA
12,Paulius Satkus,F,"6' 8""",NA,FR,NA
13,Tom Vodanovich,F,"6' 8""",NA,FR,NA
14,Christian Pierce,G,"6' 5""",NA,SR,NA
15,Andre Nation,G,"6' 5""",NA,SO,NA
20,Tom Rivard,F,"6' 7""",NA,FR,NA
21,Dimitrije Cabarkapa,F,"6' 10""",NA,SO,NA
22,Taylor Bessick,F,"6' 9""",NA,SO,NA
40,Yohanny Dalembert,F,"6' 8""",NA,FR,NA
55,Ivan Lukic,F,"6' 8""",NA,FR,NA
