number,name,position,height,weight,class,hometown
1,Jeff Coby,F,"6' 8""",NA,FR,NA
2,Isaac Cohen,G,"6' 4""",NA,SO,NA
3,Grant Mullins,G,"6' 3""",NA,SO,NA
5,Steve Frankoski,G,"6' 2""",NA,JR,NA
11,Zach En'Wezoh,F,"6' 8""",NA,SO,NA
12,Maodo Lo,G,"6' 3""",NA,SO,NA
13,Alex Rosenberg,F,"6' 7""",NA,JR,NA
14,Kendall Jackson,G,"5' 8""",NA,FR,NA
20,Paddy Quinn,G,"6' 1""",NA,SO,NA
21,Noah Springwater,G,"6' 3""",NA,JR,NA
22,Meiko Lyles,G,"6' 3""",NA,JR,NA
23,Cory Osetkowski,C,"6' 10""",NA,JR,NA
32,Chris McComber,F,"6' 8""",NA,FR,NA
33,Luke Petrasek,F,"6' 10""",NA,FR,NA
52,Conor Voss,C,"7' 1""",NA,FR,NA
