number,name,position,height,weight,class,hometown,player_image
0,Flo Thamba,F,"6' 10""",245 lbs,JR,"Kinshasa, Congo",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4395692.png
4,L.J. Cryer,G,"6' 1""",185 lbs,FR,"Katy, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433149.png
5,Jordan Turner,G,"6' 8""",195 lbs,FR,"Houston, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592207.png
10,Adam Flagler,G,"6' 3""",180 lbs,SO,"Duluth, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397654.png
11,Mark Vital,G,"6' 5""",250 lbs,SR,"Lake Charles, LA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4066292.png
12,Jared Butler,G,"6' 3""",195 lbs,JR,"Reserve, LA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4395695.png
13,Jackson Moffatt,G,"6' 7""",200 lbs,SO,"Magnolia, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4395696.png
23,Jonathan Tchamwa Tchatchoua,F,"6' 8""",245 lbs,SO,"Douala, Cameroon",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397436.png
24,Matthew Mayer,G,"6' 9""",225 lbs,JR,"Austin, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4395697.png
31,MaCio Teague,G,"6' 4""",195 lbs,SR,"Cincinnati, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4067696.png
32,Zach Loveday,F,"7' 0""",215 lbs,FR,"Gallipolis, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432284.png
35,Mark Paterson,G,"6' 1""",180 lbs,SR,"Dallas, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4074088.png
42,Dain Dainja,F,"6' 9""",270 lbs,FR,"Brooklyn Park, MN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432189.png
45,Davion Mitchell,G,"6' 2""",205 lbs,JR,"Hinesville, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278053.png
