number,name,position,height,weight,class,hometown
0,Adrien Nunez,G,"6' 6""",210 lbs,JR,"Brooklyn, NY"
1,Hunter Dickinson,C,"7' 1""",255 lbs,FR,"Alexandria, VA"
2,Isaiah Livers,F,"6' 7""",230 lbs,SR,"Kalamazoo, MI"
3,Zeb Jackson,G,"6' 5""",180 lbs,FR,"Toledo, OH"
4,Brandon Wade,G,"6' 1""",185 lbs,JR,"Ann Arbor, MI"
5,Terrance Williams II,F,"6' 7""",240 lbs,FR,"Clinton, MD"
12,Mike Smith,G,"5' 11""",185 lbs,SR,"Burr Ridge, IL"
14,Rico Ozuna-Harrison,G,"5' 11""",175 lbs,SR,"Detroit, MI"
15,Chaundee Brown,G,"6' 5""",215 lbs,SR,"Orlando, FL"
21,Franz Wagner,G,"6' 9""",220 lbs,SO,"Berlin, Germany"
23,Brandon Johns Jr.,F,"6' 8""",240 lbs,JR,"East Lansing, MI"
24,C.J. Baird,F,"6' 5""",225 lbs,SR,"Novi, MI"
25,Jace Howard,G,"6' 7""",210 lbs,FR,"Miami, FL"
32,Luke Wilson,G,"6' 0""",175 lbs,SR,"Boulder, CO"
44,Jaron Faulds,F,"6' 10""",240 lbs,SR,"Holt, MI"
51,Austin Davis,F,"6' 10""",250 lbs,SR,"Onsted, MI"
55,Eli Brooks,G,"6' 1""",185 lbs,SR,"Spring Grove, PA"
