number,name,position,height,weight,class,hometown,player_image
0,Tyson Jolly,G,"6' 4""",190 lbs,SR,"Muskogee, OK",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4066291.png
1,Feron Hunt,F,"6' 8""",195 lbs,JR,"Desoto, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396638.png
2,Darius McNeill,G,"6' 3""",185 lbs,JR,"Houston, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278139.png
3,Kendric Davis,G,"5' 11""",180 lbs,JR,"Houston, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397066.png
4,Charles Smith IV,G,"6' 5""",185 lbs,SO,"Atlanta, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431798.png
5,Emmanuel Bandoumel,G,"6' 4""",180 lbs,JR,"Quebec City, PQ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593107.png
10,Yor Anei,F,"6' 10""",235 lbs,JR,"Overland Park, KS",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397046.png
14,William Douglas,G,"6' 5""",193 lbs,JR,"Memphis, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278296.png
21,Jahmar Young Jr.,F,"6' 9""",215 lbs,SO,"Oak Cliff, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396640.png
22,Isiah Jasey,F,"6' 10""",250 lbs,SR,"Killeen, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278120.png
23,Alex Tabor Jr.,G,"6' 2""",175 lbs,SO,"Charlotte, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593108.png
24,Everett Ray,F,"6' 7""",220 lbs,JR,"Irving, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278300.png
25,Ethan Chargois,F,"6' 9""",235 lbs,SR,"Tulsa, OK",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278297.png
33,Darius McBride,G,"6' 4""",190 lbs,FR,"Cedar Park, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433034.png
