number,name,position,height,weight,class,hometown
0,Miryne Thomas,F,"6' 8""",200 lbs,JR,"Cleveland, OH"
1,K.J. Walton,G,"6' 3""",200 lbs,SR,"Indianapolis, IN"
2,Luke Bumbalough,G,"6' 1""",180 lbs,SO,"New Castle, IN"
3,Teemu Suokas,G,"6' 2""",185 lbs,FR,"Helsinki, Finland"
4,Josh Bryan,G,"6' 5""",185 lbs,FR,"Muncie, IN"
5,Ishmael El-Amin,G,"6' 1""",180 lbs,SR,"Minneapolis, MN"
11,Jarron Coleman,G,"6' 5""",205 lbs,SO,"Indianapolis, IN"
12,Brachen Hazen,F,"6' 8""",210 lbs,SR,"Columbia City, IN"
13,Kani Acree,G,"6' 6""",185 lbs,SO,"Carbondale, IL"
15,Zach Gunn,F,"6' 6""",210 lbs,JR,"Fishers, IN"
23,Reggie Jones,F,"6' 7""",210 lbs,SR,"Marion, IN"
24,Jalen Windham,G,"6' 5""",180 lbs,SO,"Indianapolis, IN"
25,Chris Robinson,G,"6' 2""",185 lbs,SO,"Indianapolis, IN"
34,Ben Hendriks,C,"6' 10""",215 lbs,SO,"Mississauga, AB"
44,Blake Huggins,C,"6' 10""",245 lbs,JR,"Union City, TN"
