number,name,position,height,weight,class,hometown,player_image
0,Brian Taylor,G,"6' 6""",205 lbs,SO,"Detroit, MI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593256.png
1,Maurice Commander,G,"6' 0""",175 lbs,JR,"Chicago, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4398155.png
2,Michael Diggins,F,"6' 8""",195 lbs,SR,"Las Vegas, NV",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279245.png
3,Jacob Wiley,F,"6' 7""",210 lbs,SR,"Houston, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279246.png
4,Teyvion Kirk,G,"6' 4""",185 lbs,JR,"Joliet, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279447.png
5,Jalen Johnson,G,"6' 1""",180 lbs,JR,"Hopkinsville, KY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702706.png
10,Deon Ejim,F,"6' 6""",250 lbs,SO,"Toronto, ON",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397766.png
13,Demetrius Calip II,G,"6' 4""",165 lbs,FR,"Woodland Hills, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432480.png
14,Brad Bowditch,G,"6' 0""",180 lbs,FR,"Milton, WI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702707.png
15,Griffin Yaklich,G,"6' 6""",200 lbs,FR,"Joliet, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702708.png
20,Jamie Ahale,G,"6' 5""",205 lbs,SR,"Montrose, VIC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397767.png
21,RayQuawndis Mitchell,G,"6' 5""",205 lbs,JR,"Atlanta, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397284.png
22,Rob Howard,F,"6' 8""",230 lbs,SR,"Gary, IN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397768.png
23,Braelen Bridges,F,"6' 10""",235 lbs,JR,"Atlanta, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593259.png
25,Treavon Martin,F,"6' 8""",210 lbs,JR,"Chicago, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4398358.png
35,Zion Griffin,F,"6' 6""",215 lbs,JR,"Chicago, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396988.png
