number,name,position,height,weight,class,hometown
0,Dwaine Jones Jr.,G,"6' 5""",175 lbs,FR,"Neptune, NJ"
1,Justin Steers,G,"6' 7""",200 lbs,JR,"Philadelphia, PA"
2,Chereef Knox,G,"6' 6""",220 lbs,SO,"Philadelphia, PA"
3,Anthony Tarke,G,"6' 6""",220 lbs,SR,"Gaithersburg, MD"
4,Nendah Tarke,G,"6' 4""",190 lbs,FR,"Gaithersburg, MD"
5,Reggie James,G,"6' 4""",195 lbs,SO,"Trenton, NJ"
10,Koby Thomas,G,"6' 6""",190 lbs,SR,"Philadelphia, PA"
12,Kyle Cardaci,G,"6' 2""",190 lbs,SO,"Holmdel, NJ"
13,DeJuan Clayton,G,"6' 2""",185 lbs,SR,"Bowie, MD"
14,Domantas Sakickas,F,"6' 7""",230 lbs,JR,"Kedainiai, Lithuania"
21,Bryce Hunt,F,"6' 7""",225 lbs,JR,"Cincinnati, OH"
22,Kenan Sarvan,F,"6' 10""",225 lbs,FR,"Heeze, Netherlands"
23,Yuat Alok,F,"6' 11""",225 lbs,SR,"Auckland, New Zealand"
24,Kaelon Harkema,G,"6' 2""",180 lbs,FR,"Louisville, KY"
25,Isaiah Gross,G,"6' 4""",210 lbs,FR,"Lanham, MD"
