number,name,position,height,weight,class,hometown,player_image
10,Brock Gilbert,G,"5' 10""",160 lbs,JR,"Syracuse, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701243.png
12,Cameron Gooden,G,"5' 11""",175 lbs,JR,"Frisco, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701244.png
14,Dason Youngblood,G,"6' 2""",195 lbs,SR,"South Jordan, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4408084.png
20,Jamar Ergas,G,"6' 4""",205 lbs,SR,"Scarborough, ON",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4066663.png
22,Frank Staine,G,"6' 6""",205 lbs,SO,"Inglewood, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701245.png
24,Jacob Nicolds,F,"6' 5""",220 lbs,JR,"Gilbert, AZ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4408086.png
30,Andre Mulibea,G,"6' 6""",210 lbs,FR,"Salt Lake City, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701246.png
32,Lleyton Parker,G,"6' 3""",195 lbs,SO,"South Jordan, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701247.png
34,Emad Elniel,G,"6' 6""",195 lbs,FR,"Phoenix, AZ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701248.png
40,Trevon Allfrey,F,"6' 7""",240 lbs,FR,"West Jordan, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701249.png
42,Mikey Frazier,F,"6' 11""",250 lbs,SO,"Salt Lake City, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397267.png
44,Hunter Schofield,F,"6' 8""",225 lbs,SR,"Spanish Fork, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701250.png
50,Jarod Greene,F,"6' 9""",255 lbs,SR,"Blackfoot, ID",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701251.png
52,Mark Hatch,G,"6' 0""",190 lbs,JR,"Mesa, AZ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701253.png
54,Isaiah Pope,G,"6' 5""",200 lbs,SO,"Yorba Linda, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701255.png
NA,Mason Chase,G,"6' 4""",165 lbs,FR,"St. George, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701252.png
NA,Noah Lemke,F,"6' 10""",210 lbs,FR,"St. George, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701254.png
NA,Brock Staheli,G,"6' 3""",210 lbs,SO,"Livermore Falls, ME",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701256.png
