number,name,position,height,weight,class,hometown
0,Marcus Dockery,G,"6' 2""",170 lbs,FR,"Washington, DC"
1,James Graham III,F,"6' 8""",205 lbs,FR,"Milwaukee, WI"
2,Aaron Wiggins,G,"6' 6""",200 lbs,JR,"Greensboro, NC"
5,Eric Ayala,G,"6' 5""",195 lbs,JR,"Wilmington, DE"
11,Darryl Morsell,G,"6' 5""",200 lbs,SR,"Baltimore, MD"
12,Reese Mona,G,"6' 2""",180 lbs,SR,"La Plata, MD"
13,Hakim Hart,G,"6' 6""",200 lbs,SO,"Philadelphia, PA"
14,Connor Odom,G,"5' 11""",155 lbs,FR,"Annapolis, MD"
15,Chol Marial,C,"7' 2""",230 lbs,SO,"Rumbek, South Sudan"
20,Aidan McCool,G,"6' 3""",155 lbs,FR,"Charleston, SC"
22,Jade Brahmbhatt,G,"6' 0""",165 lbs,JR,"Olney, MD"
23,Aquan Smart,G,"6' 3""",200 lbs,FR,"Evanston, IL"
24,Donta Scott,F,"6' 7""",225 lbs,SO,"Philadelphia, PA"
25,Jairus Hamilton,F,"6' 8""",234 lbs,JR,"Charlotte, NC"
30,Galin Smith,F,"6' 9""",240 lbs,SR,"Clinton, MS"
31,Arnaud Revaz,F,"6' 10""",220 lbs,FR,"Geneva, Switzerland"
