number,name,position,height,weight,class,hometown,player_image
0,Triston Chambers,G,"6' 2""",185 lbs,SR,"Cold Springs, AL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4067627.png
2,K.J. Davis,G,"6' 6""",185 lbs,JR,"Portsmouth, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278248.png
3,Jaron Rillie,G,"6' 3""",175 lbs,FR,"Santa Barbara, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703836.png
4,Myron Gordon,G,"6' 3""",180 lbs,SR,"Bordentown, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4398242.png
5,A.J. Staton-McCray,G,"6' 5""",190 lbs,FR,"Charlotte, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703837.png
10,Preston Parks,G,"6' 1""",175 lbs,SR,"Greenville, SC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4067281.png
11,Marcellus Vail,G,"6' 2""",175 lbs,FR,"Shelbyville, KY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4585616.png
12,Clay Holmes,G,"6' 2""",195 lbs,FR,"Brentwood, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703838.png
13,Quinn Richey,G,"6' 5""",195 lbs,SO,"Johns Creek, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432096.png
14,Richardson Maitre,G,"6' 3""",180 lbs,SR,"Montreal, PQ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397488.png
15,Grayson Walters,F,"6' 5""",185 lbs,FR,"Mountain Brook, AL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703839.png
21,Luke Champion,F,"6' 8""",175 lbs,FR,"Suwanee, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4585593.png
22,Logan Dye,F,"6' 8""",235 lbs,JR,"Haleyville, AL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4398246.png
23,Christian Guess,G,"6' 6""",190 lbs,JR,"Cleveland, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396958.png
24,Jalen Dupree,F,"6' 8""",235 lbs,SR,"Cordova, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4067190.png
31,Bryan Smith,F,"6' 4""",180 lbs,SO,"Pismo Beach, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593697.png
34,Jacob Tryon,C,"6' 11""",210 lbs,SR,"Temecula, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397718.png
35,Stanley Henderson Jr.,F,"6' 6""",210 lbs,SO,"Jonesboro, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4398247.png
