number,name,position,height,weight,class,hometown,player_image
0,Ryan Allen,G,"6' 2""",200 lbs,SR,"Bowie, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279190.png
1,Kevin Anderson,G,"6' 5""",205 lbs,SR,"Williamsport, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279189.png
2,Dylan Painter,F,"6' 10""",235 lbs,SR,"Hershey, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4065840.png
4,Gianmarco Arletti,G,"6' 6""",205 lbs,FR,"Bologna, Italy",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702742.png
5,Reggie Gardner Jr.,G,"6' 3""",175 lbs,JR,"Bowie, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4398238.png
10,Johnny McCoy,G,"6' 5""",190 lbs,SO,"Mansfield, MA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4597788.png
11,Fred Rullo IV,G,"5' 11""",165 lbs,SO,"Newtown Square, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4597789.png
14,Ebby Asamoah,G,"6' 4""",200 lbs,SO,"Rockville, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4597790.png
15,Aleks Novakovich,F,"6' 9""",230 lbs,SO,"Hobart, IN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397402.png
21,Andrew Carr,F,"6' 9""",210 lbs,--,"West Chester, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702743.png
23,Davis Long,G,"6' 2""",185 lbs,JR,"Brookeville, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397403.png
24,O.D. Ogunbo,F,"6' 8""",205 lbs,--,"Lagos, Nigeria",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4708951.png
32,Anthony Ochefu,F,"6' 8""",240 lbs,SR,"West Chester, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278243.png
55,Logan Curtis,G,"6' 3""",185 lbs,SO,"Baltimore, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432963.png
