number,name,position,height,weight,class,hometown,player_image
0,KJ Johnson,G,"6' 1""",155 lbs,SO,"Lewisburg, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592273.png
1,Greg Jones,G,"6' 3""",195 lbs,JR,"Frisco, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278444.png
2,Will Pruitt,G,"6' 2""",175 lbs,FR,"Mount Juliet, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4590356.png
3,Romeao Ferguson,G,"6' 5""",185 lbs,SR,"Burlington, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4609099.png
4,Tanner Shulman,G,"6' 4""",200 lbs,FR,"Chattanooga, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592275.png
5,Kaleb Coleman,F,"6' 6""",205 lbs,SO,"Orlando, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592274.png
10,Jake Wolfe,G,"6' 5""",200 lbs,SO,"Aurora, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396750.png
11,Alex Jones,G,"5' 10""",170 lbs,SO,"Alpharetta, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396751.png
12,Carson Cary,G,"6' 0""",160 lbs,SO,"Columbia, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432953.png
13,Parker Hazen,F,"6' 7""",205 lbs,SR,"Columbia City, IN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279172.png
14,Tommy Murr,G,"6' 1""",165 lbs,FR,"Athens, AL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700835.png
22,Jacob Hobbs,F,"6' 7""",190 lbs,SO,"Elizabethtown, KY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431989.png
23,Ahsan Asadullah,C,"6' 8""",265 lbs,JR,"Atlanta, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278445.png
25,Miles Miller,G,"6' 2""",170 lbs,SO,"Meridian, MS",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592276.png
35,Luke Howard,F,"6' 8""",220 lbs,FR,"Vancouver, BC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592277.png
NA,Ed Eubanks,F,"6' 2""",180 lbs,SO,"Franklin, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700836.png
