number,name,position,height,weight,class,hometown,player_image
0,Jaelin Llewellyn,G,"6' 2""",175 lbs,FR,"Mississauga, AB",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4398002.png
2,Jose Morales,G,"5' 9""",170 lbs,JR,"Miramar, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4066845.png
3,Ryan Langborg,G,"6' 4""",186 lbs,FR,"San Diego, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4597863.png
4,Max Johns,G,"6' 3""",195 lbs,FR,"High Point, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4398003.png
5,Drew Friberg,F,"6' 6""",210 lbs,FR,"State College, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4398004.png
10,Charlie Bagin,G,"6' 1""",170 lbs,SO,"Glen Ridge, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279564.png
11,Elias Berbari,G,"6' 2""",185 lbs,SR,"Greenlawn, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/3906975.png
11,Konrad Kiszka,G,"6' 7""",195 lbs,FR,"Newton, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4597864.png
12,Myles Stephens,G,"6' 5""",210 lbs,SR,"Lawrenceville, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/3906978.png
13,Will Gladson,F,"6' 10""",240 lbs,JR,"Chesterfield, MO",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4066846.png
14,Ethan Wright,G,"6' 3""",180 lbs,FR,"Newton, MA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4398005.png
15,Ryan Schwieger,G,"6' 6""",205 lbs,SO,"Matthews, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279565.png
20,Tosan Evbuomwan,F,"6' 7""",209 lbs,FR,"Newcastle, England",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4597865.png
22,Jerome Desrosiers,F,"6' 7""",230 lbs,SO,"St. Hyacinthe, PQ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279566.png
23,Elijah Barnes,F,"6' 7""",215 lbs,SO,"Middletown, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279567.png
25,Jacob O'Connell,F,"6' 11""",240 lbs,FR,"Voorhees, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4597866.png
31,Noah Bramlage,F,"6' 8""",225 lbs,SR,"Glandorf, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/3906976.png
32,Keeshawn Kellman,F,"6' 8""",220 lbs,FR,"Allentown, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4597867.png
33,Sebastian Much,F,"6' 8""",220 lbs,SO,"Laguna Niguel, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279568.png
34,Richmond Aririguzoh,C,"6' 9""",230 lbs,JR,"Ewing, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4066847.png
35,Colby Kyle,F,"6' 8""",190 lbs,FR,"Monroe, WA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4398006.png
