number,name,position,height,weight,class,hometown,player_image
0,Jaylon Hall,G,"6' 5""",190 lbs,JR,"Houston, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279497.png
1,Treyvon Calvin,G,"6' 0""",165 lbs,SO,"Glendale Heights, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431915.png
2,Tanner Holden,G,"6' 6""",185 lbs,SO,"Wheelersburg, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431990.png
3,Alex Huibregtse,G,"6' 3""",195 lbs,FR,"Grafton, WI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702993.png
5,Andre Harris,G,"6' 3""",190 lbs,FR,"Cleveland, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593399.png
11,Loudon Love,C,"6' 8""",260 lbs,SR,"Geneva, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4067458.png
14,Brandon Noel,F,"6' 8""",235 lbs,FR,"Lucasville, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702994.png
20,Andy Neff,F,"6' 7""",215 lbs,JR,"Oakwood, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397786.png
21,Grant Basile,F,"6' 9""",225 lbs,SO,"Pewaukee, WI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397787.png
22,Andrew Welage,G,"6' 6""",180 lbs,FR,"Greensburg, IN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702995.png
23,James Manns,F,"6' 7""",210 lbs,JR,"Columbus, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279499.png
24,Tim Finke,G,"6' 6""",215 lbs,SO,"Champaign, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396017.png
32,TJ Nagy,G,"6' 1""",175 lbs,SO,"Bellbrook, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593400.png
