number,name,position,height,weight,class,hometown,player_image
0,K.J. McClurg,G,"6' 4""",180 lbs,FR,"Morgantown, WV",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701156.png
1,Marque Maultsby,G,"6' 3""",165 lbs,JR,"Raleigh, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396576.png
2,Sean Sutherlin,G,"6' 5""",200 lbs,SR,"New Brighton, MN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593987.png
3,Nick Guadarrama,F,"6' 5""",225 lbs,JR,"Newington, CT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396578.png
4,Jon Willeman,G,"6' 2""",170 lbs,FR,"Lebanon, NH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701157.png
5,Josh Hopkins,G,"6' 5""",200 lbs,SR,"Greensboro, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278238.png
10,Nick Johnson,G,"6' 4""",190 lbs,FR,"Bronx, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593988.png
11,Blondeau Tchoukuiegno,G,"6' 2""",180 lbs,FR,"Montreal, PQ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593989.png
13,Meekness Payne,F,"6' 8""",200 lbs,JR,"Phoenix, AZ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593991.png
14,Bryce Johnson,G,"6' 3""",185 lbs,SO,"Weare, NH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593990.png
15,Tayler Mattos,C,"6' 11""",240 lbs,JR,"New London, NH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397814.png
22,Qon Murphy,G,"6' 5""",190 lbs,JR,"Charlotte, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4398022.png
23,Chris Lester,F,"6' 6""",225 lbs,SR,"Barrington, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4066728.png
24,Jayden Martinez,F,"6' 7""",200 lbs,JR,"Cibolo, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396579.png
