number,name,position,height,weight,class,hometown
0,Danya Kingsby,G,"6' 1""",175 lbs,SR,"Milwaukee, WI"
1,Ari Boya,F,"7' 1""",245 lbs,JR,"Douala, Cameroon"
2,Antonio Thomas,G,"6' 2""",185 lbs,SO,"Memphis, TN"
4,Terry Nolan Jr.,G,"6' 4""",190 lbs,JR,"Baltimore, MD"
5,Sean East II,G,"6' 3""",175 lbs,SO,"Louisville, KY"
10,Elijah Childs,F,"6' 8""",230 lbs,SR,"Kansas City, MO"
14,Riley Burger,G,"6' 5""",200 lbs,SO,"Orono, MN"
20,Jayson Kent,G,"6' 7""",185 lbs,FR,"Oak Forest, IL"
21,Kevin McAdoo,G,"6' 2""",180 lbs,JR,"Pontiac, MI"
22,Ja'Shon Henry,F,"6' 6""",230 lbs,JR,"Saskatoon, SK"
23,Ville Tahvanainen,G,"6' 4""",210 lbs,SO,"Helsinki, Finland"
25,Thomas Hall,F,"6' 7""",220 lbs,FR,"Metamora, IL"
34,Connor Linke,F,"6' 9""",225 lbs,FR,"Saint Charles, IL"
35,Darius Hannah,F,"6' 8""",190 lbs,FR,"Milwaukee, WI"
51,Rienk Mast,F,"6' 9""",240 lbs,FR,"Groningen, Netherlands"
