number,name,position,height,weight,class,hometown,player_image
2,Trey Wertz,G,"6' 5""",195 lbs,JR,"Charlotte, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397753.png
3,Prentiss Hubb,G,"6' 3""",175 lbs,JR,"Upper Marlboro, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4395664.png
5,Cormac Ryan,G,"6' 5""",195 lbs,JR,"New York, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397114.png
11,Juwan Durham,F,"6' 11""",231 lbs,SR,"Tampa, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4066440.png
12,Tony Sanders Jr.,G,"6' 7""",202 lbs,FR,"Miami, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701838.png
13,Nikola Djogo,G,"6' 8""",230 lbs,SR,"Hamilton, ON",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4065704.png
14,Nate Laszewski,F,"6' 10""",227 lbs,JR,"Jupiter, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4395665.png
22,Elijah Taylor,F,"6' 8""",231 lbs,FR,"Philadelphia, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433210.png
23,Dane Goodwin,G,"6' 6""",200 lbs,JR,"Upper Arlington, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4395667.png
24,Robby Carmody,G,"6' 4""",215 lbs,JR,"Mars, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4395668.png
25,Matt Zona,F,"6' 9""",243 lbs,FR,"Blauvelt, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433574.png
31,Elijah Morgan,G,"6' 1""",165 lbs,SO,"New Orleans, LA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592343.png
