number,name,position,height,weight,class,hometown,player_image
0,Hunter McIntosh,G,"6' 2""",185 lbs,SO,"Snellville, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592948.png
1,Chuck Hannah,F,"6' 7""",231 lbs,JR,"Boston, MA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397456.png
2,JaDun Michael,G,"6' 5""",185 lbs,FR,"Burlington, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4602028.png
3,Charles Mendys,G,"6' 0""",180 lbs,JR,"Carrboro, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702757.png
4,Brandon Harris,G,"6' 6""",188 lbs,FR,"Savannah, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702758.png
5,Federico Poser,F,"6' 9""",245 lbs,JR,"Mareno di Piave, Italy",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397457.png
10,Kris Wooten,G,"6' 2""",191 lbs,JR,"Kinston, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397455.png
11,Ikenna Ndugba,G,"6' 0""",186 lbs,SR,"Boston, MA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4067522.png
12,Darius Burford,G,"6' 0""",160 lbs,FR,"Bolingbrook, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702759.png
13,Jerald Gillens-Butler,G,"6' 5""",220 lbs,JR,"Orlando, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278553.png
14,Zac Ervin,G,"6' 5""",201 lbs,SO,"Gate City, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431950.png
20,Lars Nilsen,G,"6' 4""",201 lbs,FR,"Skien, Norway",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702760.png
21,Michael Graham,F,"6' 8""",214 lbs,FR,"Brooklyn, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702761.png
23,Ben Daugherty,G,"6' 1""",184 lbs,SO,"Chagrin Falls, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592949.png
25,Hunter Woods,G,"6' 5""",196 lbs,SO,"Pasadena, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592950.png
33,Simon Wright,F,"6' 7""",213 lbs,SR,"Minneapolis, MN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279202.png
