number,name,position,height,weight,class,hometown
1,Nyzaiah Chambers,F,"6' 7""",225 lbs,SO,"Chesapeake, VA"
2,Kashaun Hicks,G,"6' 6""",225 lbs,SR,"Harlem, NY"
3,Mustafa Lawrence,G,"6' 0""",185 lbs,SR,"Newark, NJ"
4,Joe Bryant Jr.,G,"6' 1""",215 lbs,JR,"Norfolk, VA"
5,Tyrese Jenkins,G,"6' 6""",205 lbs,SO,"Richmond, VA"
13,Daryl Anderson,G,"6' 6""",185 lbs,SO,"North Chesterfield, VA"
14,Devante Carter,G,"6' 3""",200 lbs,SR,"Newport News, VA"
15,J.J. Matthews,F,"6' 9""",250 lbs,SR,"Richmond, VA"
22,Andre Bottoms,G,"6' 0""",185 lbs,FR,"Chesapeake, VA"
23,Efstratios Kalogerias,F,"6' 10""",230 lbs,SR,"Piraeus, Greece"
24,Jalen Hawkins,G,"6' 2""",170 lbs,JR,"Bronx, NY"
32,Chris Ford,F,"6' 8""",220 lbs,JR,"Chesterfield, VA"
35,Yoro Sidibe,G,"6' 7""",220 lbs,SO,"Dakar, Senegal"
55,Kyonze Chavis,G,"6' 4""",185 lbs,SR,"Chesapeake, VA"
