number,name,position,height,weight,class,hometown,player_image
0,Luc Krystkowiak,G,"6' 4""",193 lbs,FR,"Salt Lake City, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433025.png
1,Timmy Allen,F,"6' 6""",198 lbs,JR,"Mesa, AZ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397148.png
2,Ian Martinez,G,"6' 3""",181 lbs,FR,"Limon, Costa Rica",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4601026.png
3,Pelle Larsson,G,"6' 5""",208 lbs,FR,"Nacka, Sweden",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4601025.png
5,Jaxon Brenchley,G,"6' 5""",196 lbs,SO,"Providence, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592431.png
10,Jordan Kellier,G,"6' 6""",219 lbs,SO,"Portmore, Jamaica",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702457.png
13,Eli Ballstaedt,G,"6' 5""",200 lbs,SO,"Heber City, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592433.png
14,Brooks King,G,"6' 3""",168 lbs,JR,"Boise, ID",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278537.png
15,Rylan Jones,G,"6' 0""",179 lbs,SO,"Holladay, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431751.png
20,Mikael Jantunen,F,"6' 8""",218 lbs,SO,"Helsinki, Finland",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432000.png
21,Riley Battin,F,"6' 9""",230 lbs,JR,"Oak Park, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397149.png
25,Alfonso Plummer,G,"6' 1""",182 lbs,SR,"Fajardo, Puerto Rico",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592434.png
31,Jack Jamele,G,"6' 5""",180 lbs,FR,"Palos Verdes, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702458.png
32,Lahat Thioune,C,"6' 10""",243 lbs,SO,"Dakar, Senegal",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397151.png
34,Harrison Creer,G,"6' 4""",237 lbs,FR,"Holladay, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702459.png
35,Branden Carlson,C,"7' 0""",215 lbs,SO,"South Jordan, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592435.png
