number,name,position,height,weight,class,hometown
0,Gerald Liddell,F,"6' 8""",205 lbs,JR,"Cibolo, TX"
1,Andrew Jones,G,"6' 4""",192 lbs,JR,"Irving, TX"
2,Matt Coleman III,G,"6' 2""",180 lbs,SR,"Norfolk, VA"
3,Courtney Ramey,G,"6' 3""",185 lbs,JR,"St. Louis, MO"
4,Greg Brown,F,"6' 9""",205 lbs,FR,"Austin, TX"
5,Royce Hamm Jr.,F,"6' 9""",225 lbs,SR,"Houston, TX"
10,Donovan Williams,G,"6' 6""",190 lbs,SO,"Houston, TX"
13,Jase Febres,G,"6' 5""",195 lbs,SR,"Houston, TX"
14,Drayton Whiteside,G,"6' 0""",160 lbs,SR,"Austin, TX"
20,Jericho Sims,F,"6' 10""",245 lbs,SR,"Minneapolis, MN"
22,Kai Jones,F,"6' 11""",218 lbs,SO,"Nassau, Bahamas"
30,Brock Cunningham,F,"6' 5""",204 lbs,SO,"Austin, TX"
33,Kamaka Hepa,F,"6' 9""",220 lbs,JR,"Barrow, AK"
34,Blake Nevins,F,"6' 5""",205 lbs,SR,"Cypress, TX"
43,Andrew Deutser,G,"6' 1""",--,SO,"Houston, TX"
