number,name,position,height,weight,class,hometown,player_image
0,Jahvon Smith,G,"6' 4""",200 lbs,FR,"Hallandale, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4704014.png
1,Jalen Speer,G,"6' 1""",172 lbs,FR,"Gainesville, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4704015.png
2,Kamron Reaves,G,"6' 2""",170 lbs,SR,"Champaign, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279781.png
3,MJ Randolph,G,"6' 4""",170 lbs,JR,"Pensacola, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4398142.png
4,Deandre Osuigwe,G,"6' 0""",170 lbs,SR,"Bradenton, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4704016.png
5,Keith Littles,G,"6' 4""",170 lbs,JR,"Augusta, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4704017.png
10,Lenzy Hancock Jr.,F,"6' 8""",230 lbs,FR,"Jacksonville, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4704018.png
11,Hnric Murray Jr.,F,"6' 5""",215 lbs,JR,"Orlando, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4408462.png
13,Jamir Williams,G,"6' 5""",170 lbs,FR,"Newnan, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593368.png
14,Trejan Davis,G,"6' 4""",208 lbs,SO,"Tallahassee, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4704019.png
20,Jai Clark,G,"6' 2""",185 lbs,JR,"Orlando, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4704020.png
21,Johnny Brown,F,"6' 9""",210 lbs,SO,"Daytona Beach, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4704021.png
22,Evins Desir,C,"6' 8""",300 lbs,SR,"Port-au-prince, Haiti",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593367.png
23,Bryce Moragne,F,"6' 5""",220 lbs,SR,"Tampa, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279780.png
24,Wylie Howard,C,"6' 11""",250 lbs,SO,"Lauderhill, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4704022.png
25,DJ Jones,F,"6' 9""",200 lbs,SR,"Brusly, LA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4066476.png
30,Andrew Dansoh,F,"6' 7""",200 lbs,SO,"Tampa, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593369.png
33,Alex Andrews,F,"6' 7""",200 lbs,FR,"Ocoee, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4704023.png
