number,name,position,height,weight,class,hometown,player_image
0,Talin Lewis,G,"6' 4""",180 lbs,JR,"Westlake Village, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592428.png
1,Chevez Goodwin,F,"6' 9""",215 lbs,SR,"Columbia, SC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4067218.png
2,Tahj Eaddy,G,"6' 2""",165 lbs,SR,"West Haven, CT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4067197.png
3,Isaiah Mobley,F,"6' 10""",235 lbs,SO,"Murrieta, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432815.png
4,Evan Mobley,F,"7' 0""",210 lbs,FR,"Murrieta, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432158.png
5,Isaiah White,G,"6' 7""",205 lbs,SR,"Rancho Cucamonga, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4395988.png
12,Boubacar Coulibaly,F,"6' 10""",195 lbs,FR,"Bamako, Mali",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433495.png
13,Drew Peterson,G,"6' 8""",185 lbs,JR,"Libertyville, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397689.png
14,McKay Anderson,G,"6' 5""",190 lbs,SR,"La Canada, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/NA.png
20,Ethan Anderson,G,"6' 1""",210 lbs,SO,"Los Angeles, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431808.png
21,Reese Waters,G,"6' 5""",210 lbs,FR,"Long Beach, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4711593.png
23,Max Agbonkpolo,F,"6' 8""",190 lbs,SO,"Laguna Niguel, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431700.png
24,Joshua Morgan,F,"6' 11""",195 lbs,SO,"Sacramento, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431830.png
30,Noah Baumann,G,"6' 6""",215 lbs,JR,"Phoenix, AZ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278713.png
32,Reggie Parris,G,"6' 3""",190 lbs,JR,"Denver, CO",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4706562.png
55,Amar Ross,G,"5' 7""",150 lbs,JR,"Long Beach, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4706563.png
