number,name,position,height,weight,class,hometown,player_image
0,Jacob Washington,F,"6' 8""",220 lbs,JR,"Los Angeles, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703570.png
1,Justin Turner,G,"6' 4""",205 lbs,SR,"Detroit, MI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4067366.png
2,Josiah Fulcher,G,"6' 3""",180 lbs,FR,"Lima, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703571.png
3,Caleb Fields,G,"6' 2""",185 lbs,JR,"Cape May Court H, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397815.png
4,Davin Zeigler,G,"6' 3""",175 lbs,SO,"Cleveland, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432153.png
5,Kaden Metheny,G,"5' 11""",180 lbs,FR,"Morgantown, WV",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703572.png
10,Cam Young,G,"6' 7""",200 lbs,FR,"Swedesboro, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703573.png
11,Trey Diggs,F,"6' 6""",210 lbs,SR,"Niceville, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593401.png
12,Isaac Elsasser,G,"6' 4""",185 lbs,SO,"Bowling Green, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593402.png
13,Chandler Turner,F,"6' 7""",195 lbs,SO,"Detroit, MI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432130.png
21,Matiss Kulackovskis,F,"6' 9""",215 lbs,JR,"Saldus, Latvia",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279319.png
25,Daeqwon Plowden,F,"6' 6""",215 lbs,SR,"Philadelphia, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279318.png
33,Jackson Watson,G,"6' 1""",180 lbs,FR,"Libertyville, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703574.png
35,Dylan Swingle,C,"6' 10""",295 lbs,SO,"Chillicothe, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396805.png
