number,name,position,height,weight,class,hometown,player_image
0,Christiaan Jones,G,"6' 5""",195 lbs,SR,"Columbia, SC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278470.png
1,Wheza Panzo,G,"6' 7""",210 lbs,SO,"Mississauga, AB",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592296.png
2,Rob Perry,G,"6' 4""",210 lbs,SO,"Orlando, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592297.png
3,Terry Ivery,G,"5' 9""",170 lbs,SO,"The Villages, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592298.png
4,Keith Lamar,G,"6' 6""",190 lbs,FR,"Stockbridge, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4585609.png
5,Giancarlo Valdez,G,"6' 3""",170 lbs,FR,"Santo Domingo, Dominican Republic",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700857.png
10,Davante Robinson,G,"6' 0""",190 lbs,SO,"Oklahoma City, OK",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700858.png
11,Chase Johnston,G,"6' 2""",185 lbs,FR,"Boca Raton, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4612709.png
12,Josh Smith,F,"6' 8""",215 lbs,FR,"Monrovia, IN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700859.png
15,Mahamadou Diawara,F,"6' 10""",249 lbs,SO,"Bamako, Mali",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432875.png
30,Stephan Swenson,G,"6' 2""",195 lbs,FR,"Brussels, Belgium",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700860.png
32,Gabriel Wuor,F,"7' 1""",215 lbs,FR,"Duk Padiet, South Sudan",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700861.png
33,Wyatt Hollmann,F,"6' 7""",210 lbs,SO,"Deland, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592302.png
35,Joel Kabimba,F,"6' 8""",210 lbs,SO,"Kinshasa, Congo",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592303.png
