number,name,position,height,weight,class,hometown,player_image
0,Matthew Fleming,F,"6' 6""",195 lbs,FR,"Bangor, ME",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700993.png
1,Mykhailo Yagodin,G,"6' 5""",195 lbs,JR,"Odessa, Ukraine",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4395901.png
2,Ja'Shonte Wright-Mcleish,G,"6' 4""",185 lbs,SO,"Montreal, PQ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432151.png
3,Vilgot Larsson,F,"6' 8""",215 lbs,SR,"Stockholm, Sweden",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4395896.png
4,Ata Turgut,F,"6' 9""",220 lbs,SO,"Ankara, Turkey",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592906.png
5,Nedeljko Prijovic,F,"6' 8""",210 lbs,SR,"Belgrade, Serbia",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4067811.png
10,Stephane Ingo,F,"6' 9""",200 lbs,SO,"Mississauga, AB",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4395898.png
11,LeChaun DuHart,G,"5' 11""",175 lbs,FR,"Aurora, CO",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700994.png
12,Veljko Radakovic,F,"6' 9""",210 lbs,SO,"Novi Sad, Serbia",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432084.png
13,Miks Antoms,F,"6' 8""",245 lbs,SR,"Riga, Latvia",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278224.png
14,Matias Prock,G,"6' 2""",185 lbs,FR,"Mclean, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700995.png
15,Taylor Schildroth,G,"6' 0""",175 lbs,SO,"Blue Hill, ME",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592908.png
21,Precious Okoh,G,"6' 1""",188 lbs,SO,"Brockton, MA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592909.png
22,Solomon Iluyomade,F,"6' 7""",225 lbs,JR,"London, England",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4395900.png
25,Adefolalrin Adetogun,G,"6' 1""",195 lbs,FR,"Regina, SK",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700996.png
32,Randell Wiel,G,"6' 3""",185 lbs,FR,"Haarlem, Netherlands",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700997.png
35,Wol Maiwen,F,"6' 4""",185 lbs,FR,"Auburn, ME",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700998.png
44,Leyton Bickford,F,"6' 6""",205 lbs,FR,"Sanford, ME",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700999.png
