number,name,position,height,weight,class,hometown
0,Blake Hinson,G,"6' 7""",235 lbs,JR,"Deltona, FL"
1,Tyler Harris,G,"5' 9""",150 lbs,JR,"Memphis, TN"
2,Nate Jenkins,G,"6' 2""",199 lbs,SO,"Delafield, WI"
3,Tre Jackson,G,"6' 1""",186 lbs,SO,"Columbia, SC"
4,George Conditt IV,F,"6' 10""",245 lbs,JR,"Chicago, IL"
5,Jalen Coleman-Lands,G,"6' 4""",187 lbs,SR,"Indianapolis, IN"
10,Xavier Foster,F,"7' 0""",228 lbs,FR,"Oskaloosa, IA"
11,Dudley Blackwell,F,"6' 6""",215 lbs,FR,"Miami, FL"
13,Javan Johnson,F,"6' 6""",205 lbs,JR,"Decatur, AL"
15,Carter Boothe,G,"6' 1""",199 lbs,JR,"Leon, IA"
21,Jaden Walker,G,"6' 5""",196 lbs,FR,"Lawrenceville, GA"
23,Nate Schuster,G,"6' 4""",187 lbs,JR,"Menomonee Falls, WI"
25,Eric Steyer,G,"6' 5""",180 lbs,JR,"Ames, IA"
33,Solomon Young,F,"6' 8""",255 lbs,SR,"Sacramento, CA"
45,Rasir Bolton,G,"6' 3""",185 lbs,JR,"Petersburg, VA"
55,Darlinstone Dubar,G,"6' 6""",207 lbs,FR,"Charlotte, NC"
