number,name,position,height,weight,class,hometown
1,Jaylon Pugh,G,"6' 0""",170 lbs,JR,"Cartersville, GA"
2,Colin Kenney,G,"6' 1""",172 lbs,SO,"Michigan City, IN"
3,Mike Bothwell,G,"6' 3""",190 lbs,JR,"Cleveland Heights, OH"
4,Noah Gurley,F,"6' 8""",210 lbs,JR,"Fayetteville, GA"
5,Marcus Foster,G,"6' 4""",200 lbs,FR,"Atlanta, GA"
10,Alex Hunter,G,"5' 11""",175 lbs,SR,"Raleigh, NC"
11,Robert Swanson,G,"5' 10""",165 lbs,JR,"Myrtle Beach, SC"
12,Jonny Lawrence,F,"6' 10""",205 lbs,FR,"Orlando, FL"
13,Garrett Hien,F,"6' 9""",205 lbs,FR,"Charlotte, NC"
14,Rett Lister,G,"6' 1""",160 lbs,SO,"Easley, SC"
20,Jalen Slawson,F,"6' 7""",210 lbs,JR,"Summerville, SC"
21,Ben Beeker,F,"6' 9""",220 lbs,SO,"Hendersonville, NC"
22,Joe Anderson,G,"6' 0""",170 lbs,FR,"Maryville, TN"
45,Clay Mounce,F,"6' 7""",205 lbs,SR,"Elkin, NC"
