number,name,position,height,weight,class,hometown,player_image
0,Gabe Watson,G,"6' 2""",190 lbs,JR,"Jackson, MS",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397705.png
1,Sion James,G,"6' 5""",185 lbs,FR,"Buford, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4602025.png
2,Jordan Walker,G,"5' 11""",170 lbs,JR,"Port Washington, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396656.png
3,Tylan Pope,F,"6' 6""",220 lbs,FR,"Franklinton, LA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593827.png
4,Nobal Days,F,"6' 9""",220 lbs,SO,"Racine, WI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432886.png
5,Kevin Cross,F,"6' 8""",240 lbs,SO,"Little Rock, AR",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592703.png
10,Oton Jankovic,F,"6' 10""",215 lbs,SO,"Zagreb, Croatia",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592828.png
11,Ibrahim Ali,F,"6' 10""",245 lbs,SO,"Lagos, Nigeria",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4395705.png
12,Jadan Coleman,G,"6' 4""",170 lbs,FR,"Madison, AL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4602024.png
23,R.J. McGee,G,"6' 5""",200 lbs,SO,"Chicago, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593828.png
25,Jaylen Forbes,G,"6' 5""",185 lbs,SO,"Florence, MS",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431722.png
32,Ben Callahan-Gold,G,"6' 7""",205 lbs,FR,"New York, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701223.png
34,Alec Zaccardo,G,"6' 0""",160 lbs,JR,"Boston, MA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593829.png
