number,name,position,height,weight,class,hometown,player_image
0,Nigel Jackson,F,"6' 7""",215 lbs,SR,"Baltimore, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279882.png
1,Atiba Taylor,G,"6' 4""",180 lbs,JR,"Garfield, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397788.png
2,Alex Morales,G,"6' 6""",180 lbs,SR,"Paterson, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593034.png
3,DeLonnie Hunt,G,"6' 0""",160 lbs,FR,"Upper Marlboro, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703199.png
4,Elijah Ford,G,"6' 5""",205 lbs,SR,"Newark, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593036.png
5,Jordan Mason,G,"6' 4""",205 lbs,SO,"Boston, MA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593035.png
11,Will Martinez,G,"6' 5""",190 lbs,SR,"Bronx, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593037.png
12,Chase Freeman,G,"5' 11""",180 lbs,SR,"Gallatin, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279884.png
13,Ashton Miller,G,"6' 5""",200 lbs,SO,"Scotch Plains, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592310.png
15,Elijah Allen,G,"6' 2""",185 lbs,FR,"Dover, DE",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703200.png
22,Ja'Mier Fletcher,F,"6' 7""",230 lbs,SO,"Pittsburgh, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593038.png
24,Justin Brown,C,"6' 10""",205 lbs,JR,"Chicago, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4280006.png
25,DeAndre Wilkins,C,"6' 11""",235 lbs,SO,"Edenton, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432142.png
