number,name,position,height,weight,class,hometown,player_image
0,Caleb Fields,G,"6' 0""",190 lbs,SO,"Lewisburg, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593869.png
1,Markise Davis,G,"6' 8""",195 lbs,JR,"Oxford, AL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702130.png
2,Avery Felts,G,"6' 2""",190 lbs,FR,"Jonesboro, AR",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431959.png
3,Lazar Grbovic,F,"6' 8""",230 lbs,FR,"Belgrade, Serbia",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702131.png
5,Christian Willis,G,"6' 2""",195 lbs,SR,"Belleville, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4067775.png
10,Malcolm Farrington,G,"6' 3""",205 lbs,FR,"West Palm Beach, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431957.png
12,Tim Holland Jr.,F,"6' 8""",220 lbs,JR,"Cedar Ridge, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702132.png
13,Mario Fantina,G,"6' 4""",195 lbs,FR,"Sveti Filip i Jakov, Croatia",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702133.png
15,Norchad Omier,F,"6' 7""",230 lbs,FR,"Bluefields, Nicaragua",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702134.png
21,Cheikh Ndour,F,"6' 7""",225 lbs,FR,"Medina, Senegal",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702135.png
22,Keyon Wesley,F,"6' 9""",180 lbs,JR,"Chesilhurst, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702136.png
23,Marquis Eaton,G,"6' 2""",200 lbs,SR,"Helena, AR",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4280139.png
24,Caleb London,G,"6' 4""",190 lbs,FR,"Memphis, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702137.png
50,Antwon Jackson,F,"6' 7""",270 lbs,SO,"Las Vegas, NV",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432004.png
