number,name,position,height,weight,class,hometown,player_image
0,Cameron Cohn,G,"6' 4""",175 lbs,SO,"Houston, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592314.png
1,Chuba Ohams,F,"6' 9""",210 lbs,SR,"Bronx, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4066856.png
2,Jalen Cobb,G,"6' 1""",165 lbs,JR,"Atlanta, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396809.png
3,Kyle Rose,G,"6' 3""",185 lbs,SO,"Upper Marlboro, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592315.png
4,Julian Dozier,G,"5' 10""",170 lbs,FR,"Detroit, MI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700879.png
5,Chris Austin,G,"6' 4""",205 lbs,SO,"Pasadena, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396811.png
10,Ty Perry,G,"6' 3""",215 lbs,JR,"Boston, MA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396812.png
13,Yame Butler,G,"6' 5""",190 lbs,FR,"Greenbelt, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700880.png
14,Albe Evans,G,"5' 11""",160 lbs,FR,"Schuylkill Haven, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700881.png
15,Mason Williams,G,"6' 4""",184 lbs,JR,"Voorhees, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396814.png
20,Ivan Raut,F,"6' 7""",204 lbs,SR,"Bar, Montenegro",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278492.png
21,Josh Navarro,G,"5' 10""",170 lbs,SR,"Carolina, Puerto Rico",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592316.png
22,Joel Soriano,F,"6' 11""",250 lbs,SO,"Yonkers, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592317.png
23,Lazar Skoric,G,"6' 3""",190 lbs,JR,"Belgrade, Serbia",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396815.png
30,Onyi Eyisi,F,"6' 9""",225 lbs,JR,"Napa, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396816.png
45,Peter Burquest,G,"6' 1""",165 lbs,SR,"Cincinnati, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4297498.png
NA,Josh Colon,ATH,--,--,--,--,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4706162.png
