number,name,position,height,weight,class,hometown
1,Stevie Loveless,G,"6' 5""",NA,FR,NA
2,Bubba Day,G,"6' 0""",NA,SO,NA
3,Chris Kramer,G,"6' 3""",NA,SR,NA
4,Robbie Hummel,F,"6' 8""",NA,JR,NA
5,Keaton Grant,G,"6' 4""",NA,SR,NA
12,Kelsey Barlow,G,"6' 5""",NA,FR,NA
14,Dru Anthrop,G,"6' 0""",NA,FR,NA
20,Kyle Coleman,G,"6' 4""",NA,FR,NA
21,D.J. Byrd,G,"6' 5""",NA,FR,NA
23,Lewis Jackson,G,"5' 9""",NA,SO,NA
24,Ryne Smith,G,"6' 3""",NA,SO,NA
25,JaJuan Johnson,F,"6' 10""",NA,JR,NA
30,Mark Wohlford,G,"6' 0""",NA,SR,NA
32,John Hart,G,"6' 2""",NA,FR,NA
33,E'Twaun Moore,G,"6' 4""",NA,JR,NA
41,Patrick Bade,F,"6' 8""",NA,FR,NA
