number,name,position,height,weight,class,hometown
0,Curtis White,G,"6' 4""",NA,SR,NA
1,Kandi Mukole,F,"6' 8""",NA,SR,NA
2,Calvin Thompson,G,"6' 3""",NA,SO,NA
4,Anton Dickerson,G,"6' 2""",NA,FR,NA
5,Adam Walker,F,"6' 8""",NA,JR,NA
12,Yannick Braimbridge,G,"6' 2""",NA,SR,NA
13,Mike Phillips,F,"6' 7""",NA,FR,NA
14,Tyreak Johnson,G,"6' 0""",NA,FR,NA
15,Kyle Riley,G,"6' 3""",NA,JR,NA
21,Dadrian Collins,F,"6' 5""",NA,FR,NA
22,Gary Lawrence,F,"6' 6""",NA,FR,NA
25,C.J. Prince,G,"6' 3""",NA,SR,NA
32,Nate Cooper,C,"6' 8""",NA,SR,NA
42,Charles DeCosta,C,"6' 8""",NA,FR,NA
54,Paul Kirkpatrick,C,"6' 9""",NA,SR,NA
