number,name,position,height,weight,class,hometown
3,Michael Schulze,G,"6' 0""",NA,SR,NA
5,B.J. Bailey,G,"6' 3""",NA,FR,NA
13,Corey Lowe,G,"6' 2""",NA,SR,NA
15,Valdas Sirutis,F,"6' 7""",NA,SR,NA
20,Tunde Agboola,G,"6' 4""",NA,SR,NA
21,Jake O'Brien,F,"6' 8""",NA,SO,NA
22,Carlos Strong,G,"6' 3""",NA,SR,NA
23,John Holland,G,"6' 5""",NA,JR,NA
24,Tyler Morris,G,"6' 2""",NA,SR,NA
25,Brendan Sullivan,F,"6' 8""",NA,SR,NA
32,Jeff Pelage,C,"6' 9""",NA,SO,NA
34,Sherrod Smith,F,"6' 4""",NA,SR,NA
NA,Michael Schulze,,NA,NA,,NA
NA,Sherrod Smith,,NA,NA,,NA
NA,Michael Schulze,,NA,NA,,NA
NA,Jeff Pelage,,NA,NA,,NA
NA,Jake O'Brien,,NA,NA,,NA
NA,Valdas Sirutis,,NA,NA,,NA
NA,Tyler Morris,,"6' 2""",NA,,NA
NA,Jake O'Brien,,NA,NA,,NA
NA,Tyler Morris,,"6' 2""",NA,,NA
NA,Scott Brittain,,"6' 9""",NA,SR,NA
NA,Jeff Pelage,,NA,NA,,NA
NA,Carlos Strong,,NA,NA,,NA
NA,Tunde Agboola,,NA,NA,,NA
NA,Brendan Sullivan,,"6' 8""",NA,,NA
NA,Corey Lowe,,NA,NA,,NA
NA,B.J. Bailey,,"6' 3""",NA,,NA
NA,Scott Brittain,,"6' 9""",NA,SR,NA
NA,Corey Lowe,,NA,NA,,NA
NA,Carlos Strong,,NA,NA,,NA
NA,Brendan Sullivan,,"6' 8""",NA,,NA
NA,Tunde Agboola,,NA,NA,,NA
NA,Sherrod Smith,,NA,NA,,NA
NA,John Holland,,"6' 5""",NA,,NA
NA,Valdas Sirutis,,NA,NA,,NA
NA,John Holland,,"6' 5""",NA,,NA
