number,name,position,height,weight,class,hometown
0,Jay Gavin,G,"6' 2""",NA,SO,NA
1,Larry Sanders,F,"6' 11""",NA,JR,NA
2,Issiah Grayson,G,"5' 11""",NA,FR,NA
4,Terrance Saintil,F,"6' 8""",NA,SO,NA
10,Darius Theus,G,"6' 3""",NA,FR,NA
11,Kirill Pishchalnikov,F,"6' 8""",NA,SR,NA
12,Joey Rodriguez,G,"5' 10""",NA,JR,NA
20,Bradford Burgess,G,"6' 5""",NA,SO,NA
21,Jamie Skeen,F,"6' 9""",NA,JR,NA
30,Troy Daniels,G,"6' 4""",NA,FR,NA
32,Brandon Rozzell,G,"6' 2""",NA,JR,NA
34,David Hinton,F,"6' 8""",NA,FR,NA
42,T.J. Gwynn,F,"6' 4""",NA,SR,NA
50,Ed Nixon,G,"6' 4""",NA,JR,NA
