number,name,position,height,weight,class,hometown
0,Antonio Pena,F,"6' 8""",NA,JR,NA
1,Scottie Reynolds,G,"6' 2""",NA,SR,NA
4,Jason Colenda,G,"6' 0""",NA,SR,NA
5,Maalik Wayns,G,"6' 1""",NA,FR,NA
10,Corey Fisher,G,"6' 1""",NA,JR,NA
12,Russell Wooten,F,"6' 4""",NA,SR,NA
13,Mouphtaou Yarou,F,"6' 10""",NA,FR,NA
15,Reggie Redding,G,"6' 5""",NA,SR,NA
23,Dominic Cheek,G,"6' 6""",NA,FR,NA
24,Corey Stokes,G,"6' 5""",NA,JR,NA
25,Maurice Sutton,F,"6' 11""",NA,FR,NA
31,Taylor King,F,"6' 6""",NA,SO,NA
34,Isaiah Armwood,F,"6' 7""",NA,FR,NA
