number,name,position,height,weight,class,hometown
1,Kalin Lucas,G,"6' 1""",NA,JR,NA
2,Raymar Morgan,F,"6' 8""",NA,SR,NA
3,Chris Allen,G,"6' 3""",NA,JR,NA
5,Dion Sims,,NA,NA,N/A,NA
10,Delvon Roe,F,"6' 8""",NA,SO,NA
13,Austin Thornton,F,"6' 5""",NA,SO,NA
15,Durrell Summers,G,"6' 4""",NA,JR,NA
20,Mike Kebler,G,"6' 3""",NA,JR,NA
22,Isaiah Dahlman,G,"6' 6""",NA,SR,NA
23,Draymond Green,F,"6' 6""",NA,SO,NA
25,Jon Crandell,F,"6' 8""",NA,SR,NA
34,Korie Lucious,G,"5' 11""",NA,SO,NA
40,Tom Herzog,C,"7' 0""",NA,JR,NA
41,Garrick Sherman,C,"6' 10""",NA,FR,NA
50,Derrick Nix,C,"6' 8""",NA,FR,NA
NA,Anthony Ianni,,"6' 9""",NA,SO,NA
NA,Anthony Ianni,,"6' 9""",NA,SO,NA
