number,name,position,height,weight,class,hometown
1,Drew Crawford,G,"6' 5""",NA,FR,NA
3,Mike Capocci,F,"6' 6""",NA,JR,NA
4,Alex Marcotullio,G,"6' 3""",NA,FR,NA
5,Jeff Ryan,F,"6' 7""",NA,SR,NA
10,Austin Nichols,,"6' 0""",NA,FR,NA
11,Reggie Hearn,G,"6' 4""",NA,FR,NA
12,Luka Mirkovic,C,"6' 11""",NA,SO,NA
15,Nick Fruendt,G,"6' 5""",NA,SO,NA
21,Ivan Peljusic,F,"6' 8""",NA,JR,NA
22,Michael Thompson,G,"5' 10""",NA,JR,NA
23,Jeremy Nash,G,"6' 4""",NA,SR,NA
24,John Shurna,F,"6' 8""",NA,SO,NA
30,Davide Curletti,F,"6' 9""",NA,SO,NA
54,Kyle Rowley,C,"7' 0""",NA,SO,NA
