number,name,position,height,weight,class,hometown
3,Chaisson Allen,G,"6' 4""",NA,JR,NA
10,Kauri Black,F,"6' 7""",NA,FR,NA
11,Vinny Lima,F,"6' 10""",NA,JR,NA
14,Jonathan Lee,G,"6' 2""",NA,FR,NA
15,Brian McDonald,G,"6' 2""",NA,SR,NA
20,Joel Smith,G,"6' 4""",NA,FR,NA
21,Dinko Marshavelski,F,"6' 11""",NA,FR,NA
22,Alwayne Bigby,F,"6' 5""",NA,FR,NA
23,Matt Janning,G,"6' 4""",NA,SR,NA
24,Mathiang Muo,F,"6' 6""",NA,FR,NA
25,Baptiste Bataille,G,"5' 10""",NA,SR,NA
32,Manny Adako,F,"6' 8""",NA,SR,NA
33,Ben Felix,C,"6' 11""",NA,SO,NA
54,Nkem Ojougboh,C,"6' 9""",NA,SR,NA
