game_id,away,home,away_rank,home_rank,away_score,home_score,date
401169685,Baylor,Texas Tech,4,22,57,52,2020-01-07
401166154,Ohio State,Maryland,11,12,55,67,2020-01-07
401168507,Miami,Louisville,NA,13,58,74,2020-01-07
401166278,Kentucky,Georgia,14,NA,78,69,2020-01-07
401168325,Villanova,Creighton,16,NA,64,59,2020-01-07
401168474,Virginia,Boston College,18,NA,53,60,2020-01-07
401166156,Penn State,Rutgers,20,NA,61,72,2020-01-07
401166276,Florida,South Carolina,NA,NA,81,68,2020-01-07
401166277,Tennessee,Missouri,NA,NA,69,59,2020-01-07
401168414,Providence,Marquette,NA,NA,81,80,2020-01-07
401172065,Rider,Quinnipiac,NA,NA,61,80,2020-01-07
401172263,Johnson & Wales (RI),Brown,NA,NA,53,79,2020-01-07
401172634,Western Michigan,Akron,NA,NA,69,84,2020-01-07
401172635,Toledo,Kent State,NA,NA,77,84,2020-01-07
401172636,Eastern Michigan,Ohio,NA,NA,68,74,2020-01-07
401172637,Buffalo,Ball State,NA,NA,68,88,2020-01-07
401172638,Northern Illinois,Central Michigan,NA,NA,67,68,2020-01-07
401172735,Miami (OH),Bowling Green,NA,NA,76,78,2020-01-07
401169520,South Florida,East Carolina,NA,NA,59,62,2020-01-07
401169521,Houston,Temple,NA,NA,78,74,2020-01-07
401172301,SUNY-Purchase,Cornell,NA,NA,68,100,2020-01-07
401173563,Missouri State,Illinois State,NA,NA,67,63,2020-01-07
401173584,Indiana State,Northern Iowa,NA,NA,60,68,2020-01-07
401173638,Valparaiso,Southern Illinois,NA,NA,50,63,2020-01-07
401168535,Virginia Tech,Syracuse,NA,NA,67,63,2020-01-07
401166279,Ole Miss,Texas A&M,NA,NA,47,57,2020-01-07
401166155,Iowa,Nebraska,NA,NA,70,76,2020-01-07
401173520,Loyola Chicago,Drake,NA,NA,62,65,2020-01-07
401169684,TCU,Kansas State,NA,NA,59,57,2020-01-07
401173726,Utah State,Air Force,NA,NA,60,79,2020-01-07
401173727,Fresno State,New Mexico,NA,NA,64,78,2020-01-07
