game_id,away,home,away_rank,home_rank,away_score,home_score
401169808,Eastern Kentucky,Kentucky,NA,2,49,91
401169601,UNC Greensboro,Kansas,NA,3,62,74
401168162,Colorado State,Duke,NA,4,55,89
401168164,North Carolina,UNC Wilmington,9,NA,78,62
401169442,UIC,Memphis,NA,14,46,92
401166417,Weber State,Utah State,NA,17,34,89
401169788,Siena,Xavier,NA,19,63,81
401169810,Bowling Green,LSU,NA,22,79,88
401169807,Auburn,Davidson,24,NA,76,66
401170106,North Texas,VCU,NA,25,56,59
401172559,Siena Heights,Eastern Michigan,NA,NA,51,93
401176073,Columbia International,Mercer,NA,NA,76,84
401171798,Oakland,Delaware,NA,NA,53,56
401172236,US Merchant Marine Academy,Army,NA,NA,43,80
401173842,Truett-McConnell,South Carolina Upstate,NA,NA,62,103
401175781,Penn State Wilkes-Barre,Norfolk State,NA,NA,53,93
401175841,Bob Jones University,South Carolina State,NA,NA,64,79
401176427,UMass Lowell,Long Island University,NA,NA,87,74
401169979,Sacred Heart,UConn,NA,NA,67,89
401170105,Longwood,George Mason,NA,NA,65,76
401172312,Dartmouth,Buffalo,NA,NA,68,63
401175887,Oberlin College,Yale,NA,NA,37,94
401171402,Charleston Southern,North Carolina A&T,NA,NA,49,63
401172072,Rider,Delaware State,NA,NA,81,54
401169600,Akron,West Virginia,NA,NA,84,94
401170103,St. Francis (PA),Richmond,NA,NA,98,100
401170104,Vermont,St. Bonaventure,NA,NA,61,59
401170344,Radford,Liberty,NA,NA,60,66
401170345,Johnson University (FL),Jacksonville,NA,NA,65,83
401168163,Florida Atlantic,Miami,NA,NA,60,74
401168165,Coppin State,Virginia Tech,NA,NA,42,74
401172425,Bryn Athyn,Towson,NA,NA,31,100
401171773,Niagara,Drexel,NA,NA,64,72
401173593,Loyola Chicago,Furman,NA,NA,63,87
401171829,Milligan,Elon,NA,NA,54,95
401172015,Marist,VMI,NA,NA,58,56
401172213,William & Mary W&M,American,NA,NA,70,79
401169811,Arkansas State,Ole Miss,NA,NA,43,71
401173630,UTSA,Southern Illinois,NA,NA,60,72
401171014,Central Pennsylvania College,Campbell,NA,NA,47,101
401174700,Hampden-Sydney,Coastal Carolina,NA,NA,66,102
401174701,Reinhardt,Georgia Southern,NA,NA,55,109
401176221,Ecclesia College,Grambling,NA,NA,52,147
401172415,Harvard,Northeastern,NA,NA,79,84
401166026,Eastern Illinois,Wisconsin,NA,NA,52,65
401168342,Fairleigh Dickinson,DePaul,NA,NA,59,70
401172974,Arlington Baptist,Lamar,NA,NA,61,106
401169812,Sam Houston State,Mississippi State,NA,NA,58,67
401166027,Merrimack,Northwestern,NA,NA,71,61
401169809,Northern Kentucky,Missouri,NA,NA,56,71
401169443,East Carolina,Navy,NA,NA,57,62
401172999,Houston Baptist,Oral Roberts,NA,NA,81,95
401176057,Ave Maria,Florida International,NA,NA,59,101
401166025,SIU-Edwardsville,Iowa,NA,NA,60,87
401169933,Illinois,Grand Canyon,NA,NA,83,71
401170562,Mississippi Valley State,Utah,NA,NA,49,143
401166418,Incarnate Word,Northern Colorado,NA,NA,61,83
401175155,Cal Lutheran,California Baptist,NA,NA,56,112
401171559,Cal Poly,Santa Clara,NA,NA,63,77
401166416,Simpson University,Sacramento State,NA,NA,27,76
401170560,Arizona State,Colorado,NA,NA,71,81
401170561,Portland,USC,NA,NA,65,76
401174424,Florida A&M,Hawai'i,NA,NA,52,65
401169602,Washington,Baylor,NA,16,67,64
401175205,Pacific,South Dakota,NA,NA,62,72
401166028,Rhode Island,Maryland,NA,7,55,73
401175206,Arkansas-Pine Bluff,Gonzaga,NA,8,60,110
401168442,Stony Brook,Seton Hall,NA,12,57,74
401169606,Bethune-Cookman,Texas Tech,NA,13,44,79
401170563,Boise State,Oregon,NA,15,75,106
401166030,Texas,Purdue,NA,23,70,66
401168166,Robert Morris,Notre Dame,NA,NA,57,92
401168384,Central Arkansas,Georgetown,NA,NA,78,89
401174704,Alcorn State,UL Monroe,NA,NA,72,73
401168167,Nicholls,Pittsburgh,NA,NA,75,70
401171425,Gardner-Webb,Western Carolina,NA,NA,59,71
401171505,UNC Asheville,The Citadel,NA,NA,91,76
401170109,UMass,Fairfield,NA,NA,62,60
401170949,Holy Cross,New Hampshire,NA,NA,83,87
401172761,Heidelberg,Ohio,NA,NA,50,88
401172814,Polytechnic University Polytechnic University,Boston University,NA,NA,63,91
401172815,Lafayette,St. Francis (BKN),NA,NA,72,73
401170026,Morgan State,Temple,NA,NA,57,75
401166053,Portland State,Indiana,NA,NA,74,85
401166032,Southern Utah,Nebraska,NA,NA,79,78
401171688,Georgia State,Charleston,NA,NA,80,84
401172561,Wright State,Miami (OH),NA,NA,88,81
401173230,North Carolina Central,Stephen F. Austin,NA,NA,64,94
401170347,UMBC,Florida Gulf Coast,NA,NA,65,61
401171799,Delaware,Southern Illinois,NA,NA,56,54
401170056,Texas Southern,Wichita State,NA,NA,63,69
401169603,UMKC,Oklahoma State,NA,NA,51,69
401174934,Utah Valley,Denver,NA,NA,62,74
401170048,Prairie View A&M,UCF,NA,NA,69,73
401172816,Loyola (MD),Chicago State,NA,NA,98,85
401172457,Edinboro,Cleveland State,NA,NA,54,79
401171866,Monmouth,Hofstra,NA,NA,74,94
401168456,Central Connecticut,St. John's,NA,NA,57,87
401170348,Middle Tennessee,Lipscomb,NA,NA,73,70
401170107,Iona,La Salle,NA,NA,64,70
401166031,Wagner,Penn State,NA,NA,64,91
401173649,San Diego State,BYU,NA,NA,76,71
401170108,Howard,George Washington,NA,NA,62,76
401169604,Kansas State,UNLV,NA,NA,60,56
401173879,Austin Peay,Western Kentucky,NA,NA,75,97
401172562,Northern Iowa,Northern Illinois,NA,NA,64,54
401173650,Texas State,Air Force,NA,NA,71,78
401175031,Tennessee State,Chattanooga,NA,NA,57,59
401169605,Iowa State,Oregon State,NA,NA,74,80
401168424,NJIT,Providence,NA,NA,47,76
401171927,Canisius,Brown,NA,NA,68,75
401172328,Pennsylvania,Rice,NA,NA,61,80
401166421,Idaho,UC Riverside,NA,NA,51,58
401175118,UTSA,Oakland,NA,NA,62,75
401166420,Rocky Mountain,Montana State,NA,NA,60,93
401171609,San Diego,Long Beach State,NA,NA,62,74
401171913,Lehigh,Albany,NA,NA,74,70
401171467,High Point,Wofford,NA,NA,61,89
401172509,Wisconsin-Stout,Green Bay,NA,NA,64,115
401172560,Western Michigan,Milwaukee,NA,NA,115,110
401168288,New Orleans,Butler,NA,NA,53,79
401170110,Valparaiso,Saint Louis,NA,NA,70,81
401172563,Ball State,Evansville,NA,NA,75,79
401173575,Indiana State,Dayton,NA,NA,81,86
401176428,Gettysburg,Mt. St. Mary's,NA,NA,58,75
401171651,UC Irvine,Pepperdine,NA,NA,73,77
401175034,Martin Methodist,Tennessee Tech,NA,NA,70,83
401174702,McNeese,Louisiana,NA,NA,80,85
401174703,Southern Miss,South Alabama,NA,NA,69,75
401166029,Oklahoma,Minnesota,NA,NA,71,62
401175033,Southern,Murray State,NA,NA,49,69
401175035,East Tennessee State,UT Martin,NA,NA,92,75
401170039,Tulsa,UT Arlington,NA,NA,59,73
401170346,Stetson,Western Illinois,NA,NA,77,75
401173489,IUPUI,Bradley,NA,NA,56,90
401172339,Princeton,San Francisco,NA,NA,72,82
401173652,CSU Northridge,New Mexico,NA,NA,70,97
401174935,South Dakota State,CSU Bakersfield,NA,NA,93,91
401173651,Loyola Marymount,Nevada,NA,NA,67,72
401166419,Eastern Washington,Seattle,NA,NA,74,66
401170564,CSU Fullerton,Stanford,NA,NA,54,70
401166054,Binghamton,Michigan State,NA,1,47,100
401168169,Youngstown St,Louisville,NA,5,55,78
401168168,Florida State,Florida,NA,6,63,51
401168171,James Madison,Virginia,NA,11,34,65
401166055,UMass Lowell,Ohio State,NA,18,56,76
401169934,Illinois,Arizona,NA,21,69,90
401168170,Boston College,South Florida,NA,NA,74,60
401169813,Wyoming,South Carolina,NA,NA,32,66
401173631,Southern Illinois,Oakland,NA,NA,52,61
401172295,Cornell,Bryant,NA,NA,81,82
401166056,Niagara,Rutgers,NA,NA,39,86
401168172,Columbia,Wake Forest,NA,NA,63,65
401170349,Maryland-Eastern Shore,Liberty,NA,NA,55,66
401172565,Mississippi Valley State,Central Michigan,NA,NA,78,134
401170888,Maine,Harvard,NA,NA,46,67
401170985,Vermont,Bucknell,NA,NA,66,63
401170111,Saint Joseph's,Old Dominion,NA,NA,69,82
401171774,Abilene Christian,Drexel,NA,NA,83,86
401172564,Toledo,Marshall,NA,NA,96,70
401173607,Alabama State,Missouri State,NA,NA,50,59
401172817,Colgate,Clemson,NA,NA,68,81
401170350,Carver Bible College,North Alabama,NA,NA,64,95
401171800,Delaware,UTSA,NA,NA,91,79
401168613,Detroit Mercy,NC State,NA,NA,65,84
401166422,Montana State-Northern,Montana,NA,NA,50,64
401172818,Washington College (MD),Navy,NA,NA,56,87
401173555,Little Rock,Illinois State,NA,NA,70,75
401171547,Winthrop,Fresno State,NA,NA,74,77
401173653,Portland,San José St,NA,NA,72,57
401175977,Wayland Baptist University,Rice,NA,NA,40,65
401175032,Purdue Fort Wayne,SE Missouri St,NA,NA,78,79
401170565,UC Santa Barbara,UCLA,NA,NA,61,77
401175207,Florida A&M,Pacific,NA,NA,54,76
401174425,South Dakota,Hawai'i,NA,NA,81,75
401171548,Winthrop,Saint Mary's,NA,18,61,59
401171560,Cal Poly,North Dakota State,NA,NA,67,74
401172426,Kent State,Towson,NA,NA,84,80
401172566,Nazareth,Buffalo,NA,NA,72,109
401173843,South Carolina Upstate,North Carolina Central,NA,NA,64,73
401169973,Drake,Cincinnati,NA,NA,59,81
401170352,Kennesaw State,Mercer,NA,NA,62,74
401170353,Florida Gulf Coast,Dartmouth,NA,NA,49,55
401170968,Farmingdale State,Stony Brook,NA,NA,44,91
401171521,Presbyterian,VMI,NA,NA,80,77
401174443,Anderson (IN),IUPUI,NA,NA,55,72
401170351,Georgia Southern,North Florida,NA,NA,77,80
401170354,Jacksonville,Bowling Green,NA,NA,59,75
401175790,Averett,UNC Greensboro,NA,NA,51,109
401173019,Southern-New Orleans,McNeese,NA,NA,33,104
401168173,Elon,Georgia Tech,NA,NA,41,64
401173949,Samford,Belmont,NA,NA,63,95
401169816,UL Monroe,Texas A&M,NA,NA,57,63
401166057,DePaul,Iowa,NA,NA,93,78
401169814,Texas A&M-CC,Vanderbilt,NA,NA,66,71
401169815,Florida Atlantic,Alabama,NA,NA,59,78
401175582,Howard Payne,UT Rio Grande Valley,NA,NA,42,93
401176039,Alabama A&M,UAB,NA,NA,52,74
401173214,Xavier LA,SE Louisiana,NA,NA,70,77
401175652,Bethune-Cookman,Omaha,NA,NA,61,90
401175209,Yale,San Francisco,NA,NA,79,84
401175726,South Dakota,Florida A&M,NA,NA,85,82
401174426,Pacific,Hawai'i,NA,NA,67,72
401169817,Evansville,Kentucky,NA,1,67,64
401168174,Central Arkansas,Duke,NA,2,54,105
401175210,North Dakota,Gonzaga,NA,8,66,97
401169444,Oregon,Memphis,14,13,82,74
401173654,Denver,Utah State,NA,17,56,97
401170570,Mt. St. Mary's,Washington,NA,20,46,56
401169789,Missouri,Xavier,NA,21,58,63
401169820,Auburn,South Alabama,22,NA,70,69
401168176,Pittsburgh,Robert Morris,NA,NA,71,57
401166058,Creighton,Michigan,NA,NA,69,79
401176180,Paul Quinn,Alcorn State,NA,NA,59,111
401175120,Northern Kentucky,Coastal Carolina,NA,NA,69,68
401182528,Newport News Apprentice,Hampton,NA,NA,63,95
401170114,Davidson,Charlotte,NA,NA,58,71
401172567,Mississippi Valley State,Western Michigan,NA,NA,81,91
401172819,Cairn University,Lehigh,NA,NA,43,80
401174707,Chattanooga,Troy,NA,NA,74,68
401175803,North Carolina A&T,Western Carolina,NA,NA,64,90
401176429,Wesley,Wagner,NA,NA,67,97
401180737,Massachusetts-Boston,UMass Lowell,NA,NA,45,88
401171997,Delaware State,Manhattan,NA,NA,74,85
401166059,North Alabama,Indiana,NA,NA,65,91
401168175,Howard,Notre Dame,NA,NA,50,79
401168457,New Hampshire,St. John's,NA,NA,61,74
401169821,The Citadel,Georgia,NA,NA,86,95
401169987,East Carolina,Appalachian State,NA,NA,62,68
401170112,Lamar,Duquesne,NA,NA,56,66
401170113,St. Bonaventure,Siena,NA,NA,65,78
401170116,American,George Washington,NA,NA,67,65
401170117,Northeastern,UMass,NA,NA,71,80
401170355,South Carolina State,Liberty,NA,NA,39,65
401170859,Hartford,Marist,NA,NA,62,51
401171015,Campbell,UNC Wilmington,NA,NA,76,81
401171487,Maryland-Eastern Shore,Longwood,NA,NA,55,85
401171535,Bridgewater,Radford,NA,NA,40,91
401172237,Air Force,Army,NA,NA,69,57
401172431,William & Mary W&M,Wofford,NA,NA,79,80
401172568,Goshen College,Eastern Michigan,NA,NA,49,101
401174063,Chillicothe,Eastern Kentucky,NA,NA,43,129
401171955,Fairfield,Holy Cross,NA,NA,68,63
401173060,Rice,Northwestern State,NA,NA,80,74
401171403,Furman,Charleston Southern,NA,NA,91,47
401175858,Wiley,Louisiana Tech,NA,NA,52,98
401169822,Norfolk State,Ole Miss,NA,NA,55,68
401170031,Jackson State,Tulane,NA,NA,79,88
401169610,California Baptist,Texas,NA,NA,54,67
401169819,North Texas,Arkansas,NA,NA,43,66
401176396,Texas Lutheran,Incarnate Word,NA,NA,60,86
401175119,Wisconsin Lutheran,Milwaukee,NA,NA,53,103
401172458,Cleveland State,Missouri State,NA,NA,53,73
401173640,Valparaiso,SIU-Edwardsville,NA,NA,89,76
401169607,Northern Illinois,Iowa State,NA,NA,52,70
401170829,Alabama State,Houston,NA,NA,56,84
401173594,Coppin State,Loyola Chicago,NA,NA,76,72
401174037,Chicago State,Eastern Illinois,NA,NA,34,98
401174706,Prairie View A&M,Texas State,NA,NA,48,75
401170356,Lipscomb,Tennessee State,NA,NA,78,79
401170007,New Orleans,SMU,NA,NA,64,77
401170040,Oral Roberts,Tulsa,NA,NA,67,74
401169608,Louisiana,TCU,NA,NA,65,98
401166060,Minnesota,Butler,NA,NA,56,64
401174161,Brescia,Jacksonville State,NA,NA,55,125
401175036,Wright State,Tennessee Tech,NA,NA,85,80
401175534,Ottawa University Arizona,Utah Valley,NA,NA,70,101
401175740,New Mexico State,UTEP,NA,NA,50,65
401166423,Colorado College,Northern Colorado,NA,NA,38,104
401168177,Miami,UCF,NA,NA,79,70
401169818,Murray State,Tennessee,NA,NA,63,82
401170568,Long Beach State,Stanford,NA,NA,58,86
401171652,Life Pacific,UC Irvine,NA,NA,52,98
401173655,UT Arlington,Nevada,NA,NA,73,80
401170567,Washington State,Santa Clara,NA,NA,62,70
401170569,South Dakota State,USC,NA,NA,66,84
401175640,Pacific Oregon,Seattle,NA,NA,81,115
401175208,Fresno State,San Diego,NA,NA,66,72
401174413,Pepperdine,CSU Northridge,NA,NA,94,82
401170566,UNLV,California,NA,NA,75,79
401169609,Oklahoma,Oregon State,NA,NA,77,69
401168179,Indiana State,Louisville,NA,4,62,91
401166061,Villanova,Ohio State,10,16,51,76
401169613,Houston Baptist,Texas Tech,NA,11,74,103
401169823,LSU,VCU,23,NA,82,84
401180735,St. Mary's (MD),UMBC,NA,NA,57,79
401172374,Shenandoah,James Madison,NA,NA,48,96
401170017,IUPUI,South Florida,NA,NA,70,53
401170118,Fairleigh Dickinson,Fordham,NA,NA,50,53
401170119,Long Island University,George Mason,NA,NA,74,80
401170120,La Salle,Pennsylvania,NA,NA,59,75
401170834,Binghamton,Columbia,NA,NA,63,75
401170986,Boston University,Vermont,NA,NA,47,62
401171867,Hofstra,Bucknell,NA,NA,71,86
401171978,Ohio,Iona,NA,NA,81,72
401166065,McNeese,Wisconsin,NA,NA,63,83
401168178,High Point,Boston College,NA,NA,33,59
401168180,Colgate,Syracuse,NA,NA,54,70
401168181,South Carolina Upstate,Virginia Tech,NA,NA,57,80
401168182,UNC Asheville,Wake Forest,NA,NA,79,98
401169445,Saint Joseph's,UConn,NA,NA,96,87
