number,name,position,height,weight,class,hometown
0,Derek Sloan,F,"6' 6""",225 lbs,SR,"Moreland Hills, OH"
1,Kasheem Thomas,G,"6' 0""",165 lbs,SO,"Chateauguay, PQ"
2,Anthony Wright,G/F,"6' 7""",200 lbs,SR,"Harrisburg, PA"
3,Dontel Highsmith,G,"6' 2""",200 lbs,SR,"Dowagiac, MI"
4,Kenny Carpenter,G,"6' 5""",180 lbs,SR,"Detroit, MI"
5,Tyree Appleby,G,"6' 1""",165 lbs,FR,"Jacksonville, AR"
11,Terrell Hales,G,"6' 4""",190 lbs,SR,"Detroit, MI"
12,Shawn Christian,G,"6' 0""",175 lbs,FR,"Garfield Heights, OH"
13,Stefan Kenic,F,"6' 9""",220 lbs,FR,"Belgrade, Serbia"
15,Deven Stover,G,"6' 5""",210 lbs,FR,"Solon, OH"
20,Bobby Word,G,"6' 4""",180 lbs,SR,"Lancaster, TX"
22,Evan Clayborne,F,"6' 8""",240 lbs,SO,"Dayton, OH"
23,Jamarcus Hairston,F,"6' 8""",230 lbs,SR,"Danville, VA"
24,Algevon Eichelberger,F,"6' 8""",260 lbs,SO,"Saginaw, MI"
25,David Payne,F,"6' 5""",205 lbs,JR,"Chicago, IL"
