number,name,position,height,weight,class,hometown
0,Nick Weatherspoon,G,"6' 2""",195 lbs,FR,"Canton, MS"
1,Lamar Peters,G,"6' 0""",185 lbs,SO,"New Orleans, LA"
2,Eli Wright,G,"6' 4""",190 lbs,SO,"Owensboro, KY"
3,Xavian Stapleton,G,"6' 6""",210 lbs,JR,"Flora, MS"
5,Mitchell Storm,F,"6' 7""",202 lbs,SO,"Madison, MS"
10,Tate Clayton,G,"6' 2""",170 lbs,FR,"Tupelo, MS"
11,Quinndary Weatherspoon,G,"6' 4""",205 lbs,JR,"Canton, MS"
12,Drew Davis,G,"5' 10""",165 lbs,SR,"Atlanta, TX"
13,Nick Singleton,G,"6' 5""",195 lbs,JR,"Decatur, GA"
15,T.J. Gray,G,"6' 0""",170 lbs,SO,"Columbus, MS"
22,KeyShawn Feazell,F,"6' 8""",230 lbs,FR,"New Hebron, MS"
23,Tyson Carter,G,"6' 4""",165 lbs,SO,"Starkville, MS"
24,Abdul Ado,F,"6' 11""",250 lbs,FR,"Chattanooga, TN"
35,Aric Holman,F,"6' 10""",225 lbs,JR,"Owensboro, KY"
45,E.J. Datcher,C,"6' 10""",240 lbs,SO,"Harpersville, AL"
NA,Schnider Herard,,NA,NA,53.8,NA
NA,Schnider Herard,,NA,NA,53.8,NA
