number,name,position,height,weight,class,hometown
0,Brandon Austin,G,"6' 5""",204 lbs,JR,"Montgomery, AL"
0,Christen Cunningham,G,"6' 2""",190 lbs,SR,"Georgetown, KY"
1,Kevion Nolan,G,"6' 2""",170 lbs,FR,"Anniston, AL"
2,Justin Coleman,G,"5' 10""",170 lbs,SR,"Birmingham, AL"
3,Josh Sharkey,G,"5' 10""",170 lbs,SO,"Philadelphia, PA"
4,Triston Chambers,G,"6' 2""",185 lbs,SO,"Cold Springs, AL"
13,Eric Adams,F,"6' 7""",215 lbs,SR,"Hoover, AL"
14,Tanner Tapp,G,"6' 2""",190 lbs,JR,"Brentwood, TN"
15,Stefan Lakic,F,"6' 7""",220 lbs,JR,"Visegrad, Bosnia"
20,Alex Thompson,F,"6' 8""",210 lbs,SR,"Dothan, AL"
22,Demetrius Denzel-Dyson,G,"6' 5""",205 lbs,SR,"Covington, TN"
24,Gerald Smith,G,"6' 4""",185 lbs,JR,"Carbon Hill, AL"
30,Luke Touliatos,F,"6' 4""",180 lbs,FR,"Homewood, AL"
32,Ruben Guerrero,C,"7' 0""",240 lbs,SR,"Marbella, Spain"
33,Wyatt Walker,C,"6' 9""",240 lbs,JR,"Jacksonville, FL"
43,JT Mumber,F,"6' 7""",205 lbs,FR,"Rome, GA"
55,Alex Peters,F/C,"6' 8""",225 lbs,SR,"Mountain Brook, AL"
