number,name,position,height,weight,class,hometown
0,Khadeen Carrington,G,"6' 4""",195 lbs,SR,"Brooklyn, NY"
1,Michael Nzei,F,"6' 8""",205 lbs,JR,"Makurdi, Nigeria"
2,Jordan Walker,G,"5' 11""",155 lbs,FR,"Port Washington, NY"
4,Eron Gordon,G,"6' 3""",200 lbs,SO,"Indianapolis, IN"
13,Myles Powell,G,"6' 2""",195 lbs,SO,"Trenton, NJ"
14,Ismael Sanogo,F,"6' 8""",215 lbs,SR,"Newark, NJ"
20,Desi Rodriguez,G/F,"6' 6""",220 lbs,SR,"Bronx, NY"
21,Shavar Reynolds,G,"6' 2""",195 lbs,FR,"Toms River, NJ"
22,Myles Cale,G/F,"6' 5""",200 lbs,FR,"Middletown, DE"
23,Sandro Mamukelashvili,F,"6' 10""",230 lbs,FR,"Tbilisi, Georgia"
25,Philip Flory,G/F,"6' 5""",190 lbs,FR,"Oshkosh, WI"
31,Angel Delgado,C,"6' 10""",245 lbs,SR,"Bajos De Haina, Dominican Republic"
32,Darnell Brodie,F,NA,NA,FR,"Newark, NJ"
33,Taurean Thompson,F,"6' 10""",225 lbs,SO,"New York, NY"
35,Romaro Gill,C,"7' 2""",245 lbs,JR,"St. Thomas, Jamaica"
NA,Quincy McKnight,G,"6' 3""",180 lbs,JR,"Bridgeport, CT"
