number,name,position,height,weight,class,hometown
1,Malik Maitland,G,"5' 9""",175 lbs,JR,"Daytona Beach, FL"
2,Isaiah Bailey,G/F,"6' 6""",205 lbs,JR,"Compton, CA"
3,Brandon Tabb,G/F,"6' 4""",180 lbs,SR,"Hampton, VA"
4,Armani Collins,G/F,"6' 6""",180 lbs,JR,"San Francisco, CA"
5,Rodney Ross,F,"6' 8""",225 lbs,SR,"Atlanta, GA"
5,Danny Harris Jr.,G,"5' 11""",165 lbs,SO,"Fort Lauderdale, FL"
11,Soufiyane Diakite,F,"6' 6""",215 lbs,SR,"Bronx, NY"
11,Marquel Ingram,G,"6' 2""",200 lbs,JR,"Detroit, MI"
12,Shawntrez Davis,F,"6' 9""",220 lbs,JR,"Atlanta, GA"
15,QV Johnson,G,"6' 3""",180 lbs,JR,"Los Angeles, CA"
21,Jeffrey Altidort,G,"6' 1""",180 lbs,SR,"Coral Springs, FL"
22,Houston Smith,G,"6' 4""",205 lbs,SO,"Columbus, OH"
23,David Francis,F,"6' 6""",215 lbs,JR,"Brooklyn, NY"
32,Ulmer Manzie,F,"6' 8""",225 lbs,SO,"Columbus, OH"
33,Jamal Gaines,G,"6' 3""",190 lbs,SR,"Sarasota, FL"
