number,name,position,height,weight,class,hometown
0,Keyon Jones,G,"6' 1""",200 lbs,JR,"Dorchester, MA"
1,Shunn Buchanan,G,"6' 0""",175 lbs,SO,"Madison, MS"
2,Wayne Stewart,G,"6' 6""",200 lbs,JR,"Philadelphia, PA"
3,Gabe Hadley,G,"6' 3""",195 lbs,FR,"Melbourne, Australia"
5,Kortrijk Miles,G,"6' 4""",175 lbs,FR,"Dallas, TX"
10,Jemerrio Jones,F,"6' 5""",200 lbs,SR,"Memphis, TN"
11,Johnathon Wilkins,F,"6' 10""",235 lbs,SR,"Lille, France"
12,AJ Harris,G,"5' 9""",170 lbs,SO,"Dayton, OH"
13,Sidy N'Dir,G,"6' 2""",185 lbs,JR,"Cosne-Cours-sur-Loire, France"
15,Joe Garza,G,"6' 0""",185 lbs,SR,"Las Cruces, NM"
22,Eli Chuha,F,"6' 7""",225 lbs,JR,"Redlands, CA"
23,Marlon Jones,F,"6' 9""",222 lbs,SR,"Chicago, IL"
23,Zach Lofton,G,"6' 4""",205 lbs,SR,"St. Paul, MN"
24,Leston Gordon,C,"6' 8""",220 lbs,JR,"Tunapuna, Trinidad & Tobago"
34,Bollo Gnahore,C,"6' 10""",258 lbs,SO,"Abidjan, Ivory Coast"
35,Johnny McCants,F,"6' 7""",220 lbs,FR,"Las Cruces, NM"
NA,C.J. Bobbitt,F,"6' 7""",225 lbs,JR,"Harker Heights, TX"
NA,JoJo Zamora,G,"6' 2""",175 lbs,SR,"Oakland, CA"
NA,Robert Brown,F,"6' 9""",238 lbs,FR,"Dallas, TX"
NA,Jabari Rice,G,"6' 4""",160 lbs,FR,"Houston, TX"
