number,name,position,height,weight,class,hometown
2,Max Hazzard,G,"5' 10""",170 lbs,SO,"Los Angeles, CA"
4,Justin Wertner,G,"6' 4""",200 lbs,SO,"Memphis, TN"
5,Jonathan Galloway,F,"6' 10""",235 lbs,JR,"Brentwood, CA"
10,Riley Welch,G,"6' 0""",185 lbs,FR,"Los Angeles, CA"
11,John Edgar Jr.,F,"6' 5""",215 lbs,SO,"Chino Hills, CA"
13,Brandon Smith,F,"6' 5""",200 lbs,JR,"Santa Ana, CA"
14,Evan Leonard,G,"6' 1""",185 lbs,SO,"Cerritos, CA"
22,Teo Davidian,G,"6' 1""",180 lbs,SR,"Glendale, CA"
23,Darrian Traylor,G,"6' 4""",210 lbs,SO,"Las Vegas, NV"
24,Eyassu Worku,G,"6' 2""",175 lbs,SO,"Artesia, CA"
25,Spencer Rivers,G,"6' 2""",200 lbs,JR,"Winter Park, FL"
32,Adam Liberman,C,"6' 10""",240 lbs,SO,"Valley Village, CA"
35,Solomon Ruddell,C,"7' 1""",240 lbs,FR,"Los Osos, CA"
40,Collin Welp,F,"6' 9""",215 lbs,FR,"Seattle, WA"
42,Tommy Rutherford,F,"6' 8""",240 lbs,SO,"El Cajon, CA"
50,Elston Jones,F,"6' 9""",260 lbs,JR,"Goodyear, AZ"
55,Brad Greene,C,"6' 10""",280 lbs,SO,"Lone Pine, CA"
