number,name,position,height,weight,class,hometown
0,Chris Gilbert,G,"6' 2""",181 lbs,FR,"Fenton, MI"
1,Kendrick Nunn,G,"6' 3""",184 lbs,SR,"Chicago, IL"
2,Nick Daniels,G,"6' 1""",175 lbs,SR,"Westland, MI"
4,Jalen Hayes,F,"6' 7""",213 lbs,SR,"Lansing, MI"
10,Isaiah Brock,C,"6' 8""",191 lbs,SO,"Baltimore, MD"
11,Brailen Neely,G,"5' 9""",154 lbs,SO,"Detroit, MI"
12,Stan Scott,G,"6' 4""",180 lbs,FR,"Detroit, MI"
13,Brad Brechting,C,"6' 11""",217 lbs,JR,"Cedar Springs, MI"
14,Xavier Hill-Mais,F,"6' 7""",248 lbs,JR,"Greensboro, NC"
15,Chris Palombizio,F,"6' 6""",212 lbs,SO,"Chesterton, IN"
21,Jaevin Cumberland,G,"6' 2""",179 lbs,JR,"Wilmington, OH"
22,James Beck,F,"6' 7""",210 lbs,FR,"Grand Rapids, MI"
32,Tom Cotter,F,"6' 8""",232 lbs,JR,"Williamston, MI"
35,Martez Walker,G,"6' 6""",185 lbs,SR,"Detroit, MI"
44,Julius Palmer,F,"6' 9""",215 lbs,JR,"Detroit, MI"
53,James Edwards Jr.,F,"6' 8""",184 lbs,FR,"Seattle, WA"
NA,Karmari Newman,G,"6' 4""",170 lbs,SO,"Detroit, MI"
