number,name,position,height,weight,class,hometown
0,Christian Thieneman,F,"6' 5""",205 lbs,SO,"Louisville, KY"
1,Dani Koljanin,F,"6' 8""",219 lbs,JR,"Pula, Croatia"
3,Jannson Williams,F,"6' 9""",217 lbs,FR,"Newnan, GA"
4,Christian Villers,G,"6' 0""",170 lbs,FR,"Ashland, KY"
5,Marcus Reed,G,"5' 9""",175 lbs,SR,"Charleston, WV"
11,Ajdin Penava,F,"6' 9""",214 lbs,JR,"Sarajevo, Bosnia-Herzegovina"
12,Ot Elmore,G,"6' 2""",197 lbs,SR,"Charleston, WV"
13,Jarrod West,G,"5' 11""",179 lbs,FR,"Clarksburg, WV"
14,C.J. Burks,G,"6' 4""",204 lbs,JR,"Martinsburg, WV"
21,Darius George,F,"6' 7""",190 lbs,FR,"Staunton, VA"
23,Rondale Watson,G,"6' 4""",185 lbs,JR,"Lewisburg, WV"
24,Will Fenton,F,"6' 6""",205 lbs,FR,"Fayetteville, WV"
32,Phil Bledsoe,G/F,"6' 6""",229 lbs,SO,"Wheeling, WV"
33,Jon Elmore,G,"6' 3""",184 lbs,JR,"Charleston, WV"
50,Milan Mijovic,F,"6' 9""",243 lbs,SR,"Belgrade, Serbia"
NA,Levi Cook,C,"6' 10""",270 lbs,SO,"Arnett, WV"
