number,name,position,height,weight,class,hometown
0,Jamaal David,G,"6' 6""",190 lbs,FR,"Potomac, MD"
1,Travis McConico,F,"6' 6""",200 lbs,FR,"Jacksonville, FL"
2,Cortez Mitchell,G,"6' 2""",180 lbs,SR,"Jackson, MS"
4,Deontaye Buskey,G,"6' 1""",160 lbs,FR,"Daphne, AL"
5,Jamar Martin,F,"6' 5""",215 lbs,SR,"Toronto, ON"
10,Abdul Sarki,F/C,"6' 9""",230 lbs,JR,"Minna, Nigeria"
11,Christian Keeling,G,"6' 4""",175 lbs,SO,"Augusta, GA"
12,Ty Jones,F,"6' 6""",215 lbs,FR,"Pontotoc, MS"
13,Jordan Jones,F,"6' 8""",205 lbs,SO,"Baltimore, MD"
15,Jamal Thomas,G,"6' 3""",200 lbs,SR,"Toronto, ON"
20,Alex Stewart,F,"6' 4""",190 lbs,FR,"Chapin, SC"
21,Nathan Payne,F,"6' 4""",180 lbs,FR,"Pickens, SC"
23,Javis Howard,F,"6' 8""",220 lbs,SR,"Irmo, SC"
24,Phlandrous Fleming Jr.,G,"6' 4""",195 lbs,FR,"Athens, GA"
30,Sean Price,F,"6' 5""",200 lbs,FR,"Port Charlotte, FL"
33,J.C. Cavin,G,"6' 0""",170 lbs,SR,"Greenville, SC"
