number,name,position,height,weight,class,hometown
1,Jacob Evans III,G/F,"6' 6""",210 lbs,JR,"Baton Rouge, LA"
2,Keith Williams,G,"6' 5""",210 lbs,FR,"Brooklyn, NY"
3,Justin Jenifer,G,"5' 10""",175 lbs,JR,"Baltimore, MD"
5,Trevor Moore,G,"6' 5""",200 lbs,FR,"Houston, TX"
11,Gary Clark,F,"6' 8""",230 lbs,SR,"Clayton, NC"
13,Tre Scott,F,"6' 8""",220 lbs,SO,"Darien, GA"
14,Jackson Bart,F,"6' 5""",215 lbs,SO,"Bartlesville, OK"
15,Cane Broome,G,"6' 0""",165 lbs,JR,"East Hartford, CT"
20,Mamoudou Diarra,F,"6' 9""",215 lbs,FR,"Bamako, Mali"
22,Eliel Nsoseme,F/C,"6' 9""",220 lbs,FR,"Kinsasha, Congo"
24,Kyle Washington,F,"6' 9""",230 lbs,SR,"Champlin, MN"
31,Sam Martin,G,"5' 10""",160 lbs,FR,"Cincinnati, OH"
32,John Koz,G,"6' 1""",190 lbs,SO,"Cleveland, OH"
33,Nysier Brooks,C,"6' 11""",250 lbs,SO,"Philadelphia, PA"
34,Jarron Cumberland,G,"6' 5""",215 lbs,SO,"Wilmington, OH"
